Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,72.81751981344266,18.38638524492989,4.795959996490665,6.599999999999995e-2,8.331879030435904e-4,"cx0_1: 9.950e-3"
Q1,131.31085788344353,104.90282354650017,4.940046820652617,1.4000000000000012e-2,8.733110134416175e-4,"cx1_0: 9.950e-3, cx1_2: 7.915e-3, cx1_3: 1.023e-2"
Q2,100.30819704538423,136.0247774257803,4.833249832481732,2.400000000000002e-2,9.832971947727742e-4,"cx2_1: 7.915e-3"
Q3,107.53212444754855,109.83963866091067,4.8079873570991465,2.400000000000002e-2,9.79760576635174e-4,"cx3_1: 1.023e-2, cx3_4: 1.480e-2"
Q4,100.50601376172821,44.7154713635387,4.749918184862242,3.200000000000003e-2,2.9104803757479354e-3,"cx4_3: 1.480e-2"
