Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,49.06826731162661,66.3362399765604,5.286308830516719,1.100000000000001e-2,9.362844194337527e-4,"cx0_1: 1.012e-2, cx0_2: 1.441e-2"
Q1,54.200987146359246,47.93398993523397,5.237862016808046,1.1500000000000066e-2,7.498709642437664e-4,"cx1_0: 1.012e-2, cx1_2: 1.427e-2"
Q2,51.41221536927092,65.6594860931752,5.030270333454662,1.200000000000001e-2,6.993209128743706e-4,"cx2_0: 1.441e-2, cx2_1: 1.427e-2, cx2_3: 1.394e-2, cx2_4: 1.180e-2"
Q3,56.62356021255408,29.65207304561085,5.296036972641773,6.000000000000005e-3,7.593504807844307e-4,"cx3_2: 1.394e-2, cx3_4: 1.228e-2"
Q4,46.77996257511427,41.01537876591378,5.084715047752485,1.3000000000000012e-2,8.102670161892542e-4,"cx4_2: 1.180e-2, cx4_3: 1.228e-2"
