Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,35.846046055919544,20.673729668456943,5.100139204027946,6.820000000000004e-2,5.004115324698022e-3,
Q1,58.918092583039396,74.82553160588047,5.238523243730732,4.749999999999999e-2,1.5223972336329217e-2,"CX1_0: 5.664e-2, CX1_2: 4.061e-2"
Q2,56.58492718114044,99.72911677775353,5.032573521298221,8.879999999999999e-2,6.858859121320227e-3,"CX2_3: 3.484e-2"
Q3,80.39740521304351,65.52371508208756,4.89622680576387,4.069999999999996e-2,2.353110449091367e-3,
Q4,47.84484742829988,30.72496180075922,5.030021868293488,6.16000000000001e-2,2.6320167405571304e-2,"CX4_3: 7.308e-2, CX4_10: 8.913e-2"
Q5,22.528176754041887,45.97041781290696,5.067159311486726,5.689999999999995e-2,4.878856238096252e-3,"CX5_4: 7.287e-2, CX5_6: 5.417e-2, CX5_9: 5.367e-2"
Q6,52.31219931124247,72.0523025085694,4.923826420896604,3.6799999999999944e-2,1.96241351739157e-3,"CX6_8: 3.695e-2"
Q7,33.26543147324531,75.84437943959269,4.974542097076403,1.845e-1,4.02441991579372e-3,"CX7_8: 4.138e-2"
Q8,61.966544973256525,85.7126130775368,4.739551595310322,4.039999999999999e-2,3.560288385070054e-3,
Q9,41.907405333329216,78.76778226470235,4.963376210629919,2.6499999999999968e-2,5.106993366086221e-3,"CX9_8: 5.216e-2, CX9_10: 4.626e-2"
Q10,50.558624220684194,58.957423957182826,4.945063253938007,6.630000000000003e-2,3.615459217166883e-3,
Q11,49.695091446945526,62.901345132823195,5.004999957342559,7.220000000000004e-2,3.243763334666472e-3,"CX11_3: 3.222e-2, CX11_10: 4.228e-2, CX11_12: 5.148e-2"
Q12,52.029078932198836,99.81328222277791,4.75995875829337,6.85e-2,9.13371499904847e-3,"CX12_2: 8.574e-2"
Q13,23.013663688441188,38.38067189278844,4.9685285904637055,5.6400000000000006e-2,1.0849700761699888e-2,"CX13_1: 1.221e-1, CX13_12: 4.648e-2"
