Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,85.41,150.68,5.03,-0.33574,3.870e-2,0.0584,0.019,5351.111,2.380e-4,2.380e-4,2.380e-4,0_1:9.001e-3,0_1:305.778
Q1,98.66,99.2,5.128,-0.31835,4.540e-2,0.0722,0.0186,5351.111,5.189e-4,5.189e-4,5.189e-4,1_0:9.001e-3; 1_3:1.541e-2; 1_2:8.526e-3,1_0:341.333; 1_3:497.778; 1_2:334.222
Q2,78.9,83.46,5.248,-0.3336,2.420e-2,0.0398,0.0086,5351.111,2.885e-4,2.885e-4,2.885e-4,2_1:8.526e-3,2_1:298.667
Q3,87.74,77.64,5.303,-0.33124,2.510e-2,0.036,0.0142,5351.111,2.713e-4,2.713e-4,2.713e-4,3_4:1.677e-2; 3_1:1.541e-2,3_4:519.111; 3_1:462.222
Q4,19.8,24.95,5.092,-0.33447,5.630e-2,0.0954,0.0172,5351.111,7.906e-4,7.906e-4,7.906e-4,4_3:1.677e-2,4_3:483.556
