Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,48.21,26.82,5.3,-0.33148,4.260e-2,0.0634,0.0218,5351.111,2.842e-4,2.842e-4,2.842e-4,0_1:7.073e-3,0_1:234.667
Q1,63.48,106.52,5.081,-0.31925,2.180e-2,0.0344,0.0092,5351.111,4.241e-4,4.241e-4,4.241e-4,1_3:8.677e-3; 1_2:1.142e-2; 1_0:7.073e-3,1_3:334.222; 1_2:497.778; 1_0:270.222
Q2,67.58,111.71,5.322,-0.33232,3.470e-2,0.0606,0.0088,5351.111,6.318e-4,6.318e-4,6.318e-4,2_1:1.142e-2,2_1:533.333
Q3,101.14,13.1,5.164,-0.33508,1.830e-2,0.0298,0.0068,5351.111,5.756e-4,5.756e-4,5.756e-4,3_4:1.654e-2; 3_1:8.677e-3,3_4:277.333; 3_1:369.778
Q4,94.46,112.68,5.053,-0.31926,2.340e-2,0.0422,0.0046,5351.111,8.727e-4,8.727e-4,8.727e-4,4_3:1.654e-2,4_3:312.889
