Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,64.24110325666365,29.049290521866315,5.100143194759764,2.939999999999998e-2,4.28918328271366e-3,
Q1,65.26240337148768,117.37890632425157,5.23852503905121,3.069999999999995e-2,1.5603252496813047e-2,"CX1_0: 3.627e-2, CX1_2: 3.813e-2"
Q2,55.69658288648573,111.39583994026141,5.032581084040594,5.479999999999996e-2,6.047393506449117e-3,"CX2_3: 4.262e-2"
Q3,68.19234520529423,63.24473203194862,4.8962440731699735,5.3300000000000014e-2,3.75120284260988e-3,
Q4,38.50431741751384,19.977296511618846,5.030601329589277,6.689999999999996e-2,8.586924252000028e-3,"CX4_3: 7.946e-2, CX4_10: 1.036e-1"
Q5,28.34619588927966,51.33387953976341,5.067163832365721,7.190000000000007e-2,3.921468702787867e-3,"CX5_4: 1.307e-1, CX5_6: 6.563e-2, CX5_9: 7.016e-2"
Q6,54.730048181306394,76.44166809805982,4.923838312774422,3.689999999999993e-2,3.4717467272795677e-3,"CX6_8: 5.085e-2"
Q7,41.14643311379621,64.12827527159752,4.974563271791291,1.845e-1,3.702249177515493e-3,"CX7_8: 3.544e-2"
Q8,64.76805424058955,103.407095826009,4.739557690299292,4.239999999999999e-2,3.071577687433269e-3,
Q9,44.6321533926246,84.46093771037167,4.963376808565701,3.5499999999999976e-2,7.05678030734469e-3,"CX9_8: 4.996e-2, CX9_10: 4.751e-2"
Q10,46.68197160680371,50.168749858553525,4.945064033862734,5.600000000000005e-2,3.7381500516767696e-3,
Q11,66.12393626695894,127.78909465547098,5.005004817761183,5.369999999999997e-2,5.272028164629239e-3,"CX11_3: 4.818e-2, CX11_10: 6.455e-2, CX11_12: 4.117e-2"
Q12,66.87951657868187,93.0664740788311,4.760080442627781,6.230000000000002e-2,7.6166329879838734e-3,"CX12_2: 1.128e-1"
Q13,18.248773828098944,34.79919096358833,4.968529834160974,1.2829999999999997e-1,1.6309896505834698e-2,"CX13_1: 1.418e-1, CX13_12: 5.068e-2"
