Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Single-qubit U2 error,CNOT error
,4.822065276617073,117.48353491205212,59.95604889793229,2.7200000000000002e-2,2.524128972068372e-4,"cx0_1: 8.529e-3 "
1,4.759944496661296,98.60232916197506,100.8354098053159,1.6900000000000026e-2,2.316541221360763e-4,"cx1_3: 7.658e-3 , cx1_2: 8.849e-3 , cx1_0: 8.529e-3 "
2,4.907313033549357,105.78125489924831,166.97945064127532,2.980000000000005e-2,3.015710703901588e-4,"cx2_1: 8.849e-3 "
3,4.878965281630321,77.18869192717032,130.06157208930293,1.6100000000000003e-2,3.1940658357642774e-4,"cx3_5: 9.579e-3 , cx3_1: 7.658e-3 "
4,4.870899564138162,100.71092063360693,30.763180673044985,2.2599999999999953e-2,2.7568549456492836e-4,"cx4_5: 9.819e-3 "
5,4.963972148436196,70.64562053315628,106.14628188995331,1.7299999999999982e-2,2.724031781329086e-4,"cx5_6: 7.883e-3 , cx5_4: 9.819e-3 , cx5_3: 9.579e-3 "
6,5.1770022263190905,82.46541839784989,129.37731842704622,1.319999999999999e-2,2.109875408946898e-4,"cx6_5: 7.883e-3 "
