Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,62.740640772950286,27.36662796774757,5.100109061543502,2.289999999999992e-2,6.405828199572694e-3,
Q1,78.14480276264462,121.68154187277895,5.238522885273495,5.130000000000001e-2,1.223311548912398e-2,"CX1_0: 4.575e-2, CX1_2: 3.290e-2"
Q2,54.73069371348888,95.43864310938541,5.03257902649409,3.479999999999994e-2,8.942373838650042e-3,"CX2_3: 7.288e-2"
Q3,70.19149266438289,68.64453878139084,4.896240002049463,5.030000000000001e-2,2.2092760617042906e-3,
Q4,41.326315300673954,20.351638966955875,5.030661156767176,5.930000000000002e-2,7.55744094403521e-3,"CX4_3: 6.145e-2, CX4_10: 9.503e-2"
Q5,23.78023969181125,45.803173117972385,5.067163930406398,6.569999999999998e-2,5.724601450075806e-3,"CX5_4: 1.003e-1, CX5_6: 6.962e-2, CX5_9: 6.906e-2"
Q6,33.69618920640654,57.60686386500897,4.923824418957104,4.1100000000000025e-2,4.864712001430793e-3,"CX6_8: 3.438e-2"
Q7,41.09404568732883,64.19386860815888,4.974565954678557,2.259e-1,3.996806433134936e-3,"CX7_8: 2.931e-2"
Q8,57.53395886656138,103.32836693640958,4.739552908342269,3.689999999999993e-2,3.8368401378058303e-3,
Q9,44.015366315214436,75.02966541718916,4.963376771823653,2.980000000000005e-2,4.911409938995415e-3,"CX9_8: 5.656e-2, CX9_10: 5.504e-2"
Q10,41.85126307684866,50.73878766915345,4.945062322154853,5.569999999999997e-2,3.953568984237599e-3,
Q11,66.38816935850369,102.78843611751327,5.0050063979748325,3.63e-2,3.936152391359582e-3,"CX11_3: 3.745e-2, CX11_10: 5.550e-2, CX11_12: 5.124e-2"
Q12,65.09576154919124,121.28332820424616,4.7600711845492345,4.039999999999999e-2,8.499642777208272e-3,"CX12_2: 8.250e-2"
Q13,14.940059147062408,31.85323397601978,4.968526331288055,1.269e-1,1.3867795937280492e-2,"CX13_1: 1.519e-1, CX13_12: 1.062e-1"
