Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,65.72010630382181,50.548348281538765,5.286287823374953,1.2499999999999956e-2,9.657389907569226e-4,"cx0_1: 1.202e-2, cx0_2: 1.603e-2"
Q1,64.5550583435387,52.98195581389029,5.237834248720368,1.750000000000007e-2,7.237031989564776e-4,"cx1_0: 1.202e-2, cx1_2: 1.271e-2"
Q2,67.17489664116785,70.04886066542005,5.030259000137525,1.9500000000000073e-2,8.319139144091058e-4,"cx2_0: 1.603e-2, cx2_1: 1.271e-2, cx2_3: 1.432e-2, cx2_4: 1.222e-2"
Q3,50.79998578518753,26.00502163744807,5.296012833252533,1.3500000000000068e-2,7.949219949188181e-4,"cx3_2: 1.432e-2, cx3_4: 9.500e-3"
Q4,65.42920160668605,53.04266138757522,5.084694463339294,2.4499999999999966e-2,7.219225804347433e-4,"cx4_2: 1.222e-2, cx4_3: 9.500e-3"
