Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Single-qubit U2 error,CNOT error
,4.822061581183463,93.43402508664344,53.43671273444026,2.8800000000000048e-2,2.6477005039622387e-4,"cx0_1: 8.615e-3 "
1,4.759927381030298,105.6931806424175,99.13985144355458,2.4599999999999955e-2,2.567612517198304e-4,"cx1_3: 7.457e-3 , cx1_2: 1.029e-2 , cx1_0: 8.615e-3 "
2,4.907315894191488,71.53405836609353,106.82309718847907,1.3900000000000023e-2,4.848970569063347e-4,"cx2_1: 1.029e-2 "
3,4.878970278586963,89.57835892472552,129.27103539149934,2.5500000000000078e-2,2.832845017858758e-4,"cx3_5: 9.516e-3 , cx3_1: 7.457e-3 "
4,4.870898660818087,90.35333506075969,30.763180673044985,1.9299999999999984e-2,4.192640841031751e-4,"cx4_5: 1.018e-2 "
5,4.963971236468858,67.58981076917611,108.77519658586084,1.21e-2,3.3548124063892653e-4,"cx5_6: 8.264e-3 , cx5_4: 1.018e-2 , cx5_3: 9.516e-3 "
6,5.176999109558286,111.16209131809072,131.9677080644402,1.4100000000000001e-2,2.135318748211795e-4,"cx6_5: 8.264e-3 "
