Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,4.968703011873892,69.96760869744062,56.201967682698196,2.636027965051967e-4,2.636027965051967e-4,3.539999999999999e-2,"cx0_1: 1.010e-2 "
1,4.770092280003003,40.15346697199767,63.52262621167203,5.855217695570165e-4,5.855217695570165e-4,3.320000000000001e-2,"cx1_2: 2.343e-2 , cx1_0: 1.010e-2 "
2,5.015166231495874,75.44901955904757,133.6973478788161,3.660475661836872e-4,3.660475661836872e-4,2.5700000000000056e-2,"cx2_3: 1.087e-2 , cx2_1: 2.343e-2 "
3,5.259259110465225,65.14892639014842,136.09210783997872,3.302885335928634e-4,3.302885335928634e-4,2.1100000000000008e-2,"cx3_4: 1.159e-2 , cx3_2: 1.087e-2 "
4,4.997604649067773,80.21439011966545,160.49484872342634,2.662874703774264e-4,2.662874703774264e-4,2.1100000000000008e-2,"cx4_3: 1.159e-2 "
