Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,5.000411262811245,127.0662161865781,157.42669905508356,3.1299999999999994e-2,0.00030321821761709775,"cx0_1: 2.609e-2 "
1,4.843689179137842,89.16303918719515,76.46598618356379,2.8800000000000048e-2,0.00020989467969740995,"cx1_2: 9.622e-3 , cx1_0: 2.609e-2 "
2,4.782909739010808,130.8099035270549,167.48261647766742,7.940000000000003e-2,0.00015603235917698268,"cx2_3: 8.259e-3 , cx2_1: 9.622e-3 "
3,4.858149681877931,186.0575294286105,248.77954987931187,5.400000000000005e-2,0.0002026963029179545,"cx3_4: 1.016e-2 , cx3_2: 8.259e-3 "
4,4.978312740279893,147.67507328343189,32.7014998970346,3.210000000000002e-2,0.00019465733440528926,"cx4_3: 1.016e-2 "
