Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,4.743893089151828,141.69377147296757,77.14636643986495,3.400000000000003e-2,0.00042810337777917664,"cx0_1: 8.032e-3 "
1,4.660920810049914,55.298932310262245,36.483565364441134,2.9200000000000004e-2,0.00036044561967550544,"cx1_3: 1.292e-2 , cx1_2: 1.327e-2 , cx1_0: 8.032e-3 "
2,4.792498163450154,166.16434147592804,66.28101413366493,4.049999999999998e-2,0.0006183379089094842,"cx2_1: 1.327e-2 "
3,4.834409747026628,67.90636630771404,44.63290293538741,1.6100000000000003e-2,0.000946862396028222,"cx3_4: 1.354e-2 , cx3_1: 1.292e-2 "
4,4.9595274530055296,100.10261521170989,145.46286614832852,1.100000000000001e-2,0.0007529363724455485,"cx4_3: 1.354e-2 "
