Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Single-qubit U2 error,CNOT error
,4.968662378714828,21.853523013088303,43.315994979807115,2.6499999999999968e-2,2.491282816661768e-4,"cx0_1: 1.000e+0 "
1,4.7700730575422785,101.98565095443534,76.13757380651728,2.859999999999996e-2,2.5320872922706224e-4,"cx1_2: 1.623e-2 , cx1_0: 1.000e+0 "
2,5.015165944752782,64.58441496010579,67.21974052568463,4.580000000000006e-2,4.940312826815513e-4,"cx2_3: 1.105e-2 , cx2_1: 1.623e-2 "
3,5.259262090973738,80.27387419098773,122.72737923536856,1.629999999999998e-2,2.749241671801145e-4,"cx3_4: 5.252e-2 , cx3_2: 1.105e-2 "
4,4.997586197385291,60.83750273636507,125.90222024813026,4.489999999999994e-2,1.134607037371454e-3,"cx4_3: 5.252e-2 "
