Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,5.175371194218275,38.74202928817645,80.33247537268649,1.1400000000000077e-2,0.00031935963357918756,"cx0_1: 1.044e-2 "
1,5.2672443350575655,33.14515618013557,3.979381566745395,1.2800000000000034e-2,0.0003468811323011584,"cx1_2: 9.037e-3 , cx1_0: 1.044e-2 "
2,5.0523792948529085,59.000165079264974,4.650415847055742,3.5529999999999995e-1,0.0002971629274302938,"cx2_3: 7.791e-3 , cx2_1: 9.037e-3 "
3,4.855929652905825,91.20063008975991,3.161480378473961,1.7100000000000004e-2,0.0002769043673534194,"cx3_2: 7.791e-3 , cx3_4: 6.890e-3 "
4,5.118545559665267,100.13083062326109,96.95317729240185,1.750000000000007e-2,0.00024557465579740106,"cx4_3: 6.890e-3 "
