Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,59.26417913087468,22.208509994410477,5.1001368447121,2.839999999999998e-2,5.334392792772591e-3,
Q1,54.35410671999578,107.60765483274425,5.238525799302004,9.970000000000001e-2,1.8421843867303167e-2,"CX1_0: 4.858e-2, CX1_2: 4.964e-2"
Q2,65.02491042363917,102.83070196490127,5.032578942718098,3.6799999999999944e-2,6.414948266977638e-3,"CX2_3: 3.438e-2"
Q3,72.65474842865966,71.14972119773056,4.896246487422958,4.4399999999999995e-2,2.241316026079909e-3,
Q4,49.167483520513976,21.208613240965175,5.030830677197091,6.600000000000006e-2,8.202007503477549e-3,"CX4_3: 6.739e-2, CX4_10: 1.487e-1"
Q5,26.98838316968964,43.45470577875792,5.067161770588989,5.169999999999997e-2,4.188132493875285e-3,"CX5_4: 1.119e-1, CX5_6: 8.414e-2, CX5_9: 7.457e-2"
Q6,61.35337492209334,48.24167116579595,4.923828165645737,3.149999999999997e-2,3.608043481570178e-3,"CX6_8: 4.069e-2"
Q7,45.6657808884256,69.50056464837022,4.974533062119732,9.17e-2,8.712066062462553e-3,"CX7_8: 6.812e-2"
Q8,58.49501133767534,88.54700368940505,4.7395519643039075,5.879999999999996e-2,4.63793152416081e-3,
Q9,47.40256872792219,66.31764900334896,4.963378923542657,5.679999999999996e-2,5.7015464386650505e-3,"CX9_8: 5.494e-2, CX9_10: 4.761e-2"
Q10,47.07916397193976,49.32881564221067,4.945063332892994,5.899999999999994e-2,3.8537343610403063e-3,
Q11,65.8192495183403,81.43162682668961,5.00499865619908,4.919999999999991e-2,3.1897776165883407e-3,"CX11_3: 3.069e-2, CX11_10: 3.883e-2, CX11_12: 4.256e-2"
Q12,57.922600387596184,88.04355603700193,4.759962850976787,4.630000000000001e-2,7.391110226412367e-3,"CX12_2: 6.550e-2"
Q13,23.952945153976327,36.96766018881157,4.968531352658964,5.469999999999997e-2,1.4019522015401686e-2,"CX13_1: 1.521e-1, CX13_12: 4.697e-2"
