Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,87.44275078681315,90.79545890003617,4.819515913343225,1.9000000000000017e-2,6.715398379053672e-4,"cx0_1: 6.131e-3"
Q1,84.80320013940005,34.88641015335896,4.891102140483049,3.200000000000003e-2,6.49197476696907e-4,"cx1_0: 6.131e-3, cx1_2: 1.180e-2, cx1_3: 1.234e-2"
Q2,88.92933327505851,23.882465694442455,4.716856273012068,2.300000000000002e-2,6.508784843396671e-4,"cx2_1: 1.180e-2"
Q3,119.26914820608197,91.31844596398182,4.789030591260293,2.5000000000000022e-2,9.115961313117514e-4,"cx3_1: 1.234e-2, cx3_4: 9.411e-3"
Q4,56.01782550293904,31.83627521779229,5.023689642307337,3.9000000000000035e-2,8.03144045047663e-4,"cx4_3: 9.411e-3"
