Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.300357189009302,48.206656812414174,26.816912572265807,2.5870026697239005e-4,2.5870026697239005e-4,4.4300000000000006e-2,"cx0_1: 1.327e-2 "
1,5.0808072105602875,60.20256768337207,89.07920429881061,2.317246824118454e-3,2.317246824118454e-3,2.200000000000002e-2,"cx1_3: 5.645e-2 , cx1_2: 4.197e-2 , cx1_0: 1.327e-2 "
2,5.32228015442115,30.098229799956044,14.460752601247814,1.5987430774616644e-3,1.5987430774616644e-3,1.1109999999999998e-1,"cx2_1: 4.197e-2 "
3,5.163751852649357,70.56337212287373,13.10258921886992,2.664414331358924e-3,2.664414331358924e-3,4.500000000000004e-2,"cx3_4: 2.973e-2 , cx3_1: 5.645e-2 "
4,5.052591551254356,98.49999515447188,115.51930127441248,1.413013060627993e-3,1.413013060627993e-3,3.0999999999999917e-2,"cx4_3: 2.973e-2 "
