Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Single-qubit U2 error,CNOT error
,4.968659055446421,92.71876920498265,78.75390954156117,2.2699999999999942e-2,2.1457909469802498e-4,"cx0_1: 7.019e-3 "
1,4.770073599960834,121.29737571122656,89.93324583649814,2.5700000000000056e-2,2.2082688400342e-4,"cx1_2: 2.041e-2 , cx1_0: 7.019e-3 "
2,5.015162759993219,56.14658822015172,90.49380214483344,4.11999999999999e-2,6.60229733372436e-4,"cx2_3: 1.334e-2 , cx2_1: 2.041e-2 "
3,5.2592606193614095,75.19845507363095,125.6812753249025,1.8399999999999972e-2,3.024438678281975e-4,"cx3_4: 5.732e-2 , cx3_2: 1.334e-2 "
4,4.997653862411345,60.83750273636507,125.90222024813026,4.7900000000000054e-2,9.277008850518166e-4,"cx4_3: 5.732e-2 "
