Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,74.10142081616208,21.48424754950962,5.1001376706797705,4.059999999999997e-2,7.428596499125972e-3,
Q1,52.07570856135816,113.17795689991311,5.2385242684106235,6.390000000000007e-2,1.8021498548279724e-2,"CX1_0: 4.943e-2, CX1_2: 3.796e-2"
Q2,55.40427810545159,112.51846341766164,5.032576198098162,3.5599999999999965e-2,7.657345678516503e-3,"CX2_3: 3.973e-2"
Q3,63.23046635351655,67.8913918545681,4.896231179962509,4.1200000000000014e-2,1.8228780459027538e-3,
Q4,46.470766218931765,28.64829983869267,5.030643894187194,6.35e-2,6.826050848895537e-3,"CX4_3: 7.685e-2, CX4_10: 9.749e-2"
Q5,26.14180347532078,56.42136992430424,5.06716419518199,5.2000000000000046e-2,4.845050086796476e-3,"CX5_4: 6.638e-2, CX5_6: 5.218e-2, CX5_9: 5.297e-2"
Q6,80.56587184591994,91.38365093198232,4.923819759594509,3.4499999999999975e-2,2.0038659201561115e-3,"CX6_8: 3.458e-2"
Q7,49.423790820186355,78.28726816775747,4.974542608907268,1.2460000000000004e-1,3.761830729997251e-3,"CX7_8: 3.542e-2"
Q8,57.92465518454211,41.24451338794199,4.739553286201296,6.040000000000001e-2,4.823899213171501e-3,
Q9,40.97640344318444,75.18326283083685,4.963380908131906,4.200000000000004e-2,5.319298223050328e-3,"CX9_8: 5.303e-2, CX9_10: 7.013e-2"
Q10,47.80776780000553,64.24112489194208,4.945061501502717,5.400000000000005e-2,4.404523344261113e-3,
Q11,65.18685501715909,110.13149620964043,5.005002229815248,3.959999999999997e-2,2.944527779529027e-3,"CX11_3: 3.114e-2, CX11_10: 6.097e-2, CX11_12: 5.387e-2"
Q12,51.10079188444095,90.4856948209169,4.759964184567146,4.390000000000005e-2,7.22311485945093e-3,"CX12_2: 8.544e-2"
Q13,24.131387939446057,43.23539880219442,4.9685205215547965,5.0899999999999945e-2,1.090159721179862e-2,"CX13_1: 1.118e-1, CX13_12: 8.114e-2"
