Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Single-qubit U2 error,CNOT error
,4.822065104745712,88.42552930452361,50.8038530263071,2.739999999999998e-2,2.7585258433037916e-4,"cx0_1: 1.000e+0 "
1,4.759948470368857,59.38365937634192,92.14714222688622,1.3700000000000045e-2,2.9572460540059145e-4,"cx1_3: 1.000e+0 , cx1_2: 1.000e+0 , cx1_0: 1.000e+0 "
2,4.9073177833729975,96.1465243724162,157.09311269919723,1.200000000000001e-2,3.3144866554933795e-4,"cx2_1: 1.000e+0 "
3,4.878968193106607,94.41798750132818,133.543880780581,1.4100000000000001e-2,3.0294823519668427e-4,"cx3_5: 8.542e-3 , cx3_1: 1.000e+0 "
4,4.870902111388716,87.614008525845,30.763180673044985,1.9199999999999995e-2,2.714690496842795e-4,"cx4_5: 1.013e-2 "
5,4.963968172681299,113.67480377596276,147.16485302685328,1.0699999999999932e-2,2.2526518630677482e-4,"cx5_6: 8.804e-3 , cx5_4: 1.013e-2 , cx5_3: 8.542e-3 "
6,5.176998965531777,70.23744350200917,143.36619693448415,1.330000000000009e-2,2.3329584408127288e-4,"cx6_5: 8.804e-3 "
