Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,66.51500591525576,20.93020015414027,5.100139236335586,3.1399999999999983e-2,5.486309549189716e-3,
Q1,47.896755964048616,86.72063576852693,5.238520844106191,7.079999999999997e-2,1.9793225244281176e-2,"CX1_0: 3.685e-2, CX1_2: 4.305e-2"
Q2,55.24885590107975,87.33521941771596,5.032572134226994,3.3499999999999974e-2,9.953099518477004e-3,"CX2_3: 6.099e-2"
Q3,79.09185794347904,73.10473140276224,4.896229720103962,3.8799999999999946e-2,2.293902980639251e-3,
Q4,41.68052224730523,23.52597761025443,5.029942962858385,6.33999999999999e-2,1.8632368094148033e-2,"CX4_3: 6.180e-2, CX4_10: 1.461e-1"
Q5,23.781426490048872,55.16207615445788,5.067163443341188,4.679999999999995e-2,4.602221262282713e-3,"CX5_4: 7.083e-2, CX5_6: 5.917e-2, CX5_9: 1.244e-1"
Q6,46.67423467997475,67.17040866859952,4.923820297928803,3.200000000000003e-2,2.727038485734967e-3,"CX6_8: 3.835e-2"
Q7,44.434651400899654,82.63926890324608,4.974542215450596,1.3549999999999995e-1,3.5206312872232415e-3,"CX7_8: 3.887e-2"
Q8,52.83895648249352,85.35753845741387,4.739570722619275,6.2100000000000044e-2,4.814523979047802e-3,
Q9,45.22853206362498,73.34533326182941,4.96337991604481,3.8999999999999924e-2,6.313473634803501e-3,"CX9_8: 5.860e-2, CX9_10: 5.168e-2"
Q10,53.972351477418655,64.84862011668179,4.945059803977189,8.590000000000009e-2,3.6889321733510894e-3,
Q11,61.70828458891306,110.51489204090885,5.005001853337683,5.2200000000000024e-2,2.9180284373306886e-3,"CX11_3: 3.177e-2, CX11_10: 3.908e-2, CX11_12: 4.498e-2"
Q12,59.18683571823919,113.4553925606765,4.759974972488145,5.04e-2,9.09256951164883e-3,"CX12_2: 9.035e-2"
Q13,21.560192267855328,45.62528788106594,4.968539041679127,5.810000000000004e-2,1.4053113657995664e-2,"CX13_1: 1.495e-1, CX13_12: 4.501e-2"
