Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.029677881901121,105.24976545919995,134.59499953860757,1.9181194949529013e-4,1.9181194949529013e-4,2.1700000000000053e-2,"cx0_1: 5.834e-3 "
1,5.128319717225641,91.85355263652473,149.22698175468943,2.12705551930798e-4,2.12705551930798e-4,1.5199999999999991e-2,"cx1_0: 5.834e-3 , cx1_3: 1.025e-2 , cx1_2: 6.166e-3 "
2,5.247490509198114,124.6313322019533,40.15581947771315,4.634156072709061e-4,4.634156072709061e-4,3.2399999999999984e-2,"cx2_1: 6.166e-3 "
3,5.303332395367788,39.46202406280285,45.52044886166885,4.4360821567718907e-4,4.4360821567718907e-4,4.7599999999999976e-2,"cx3_4: 2.129e-2 , cx3_1: 1.025e-2 "
4,5.0917741444809135,19.422840479422856,22.318422860583716,7.427812799650286e-4,7.427812799650286e-4,5.390000000000006e-2,"cx4_3: 2.129e-2 "
