Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Single-qubit U2 error,CNOT error
,5.0004322555697645,99.26072319885245,156.48608514133912,4.4499999999999984e-2,2.9668835182246117e-4,"cx0_1: 1.959e-2 "
1,4.845250501136336,142.52177288463642,72.38222767742418,3.91999999999999e-2,2.129641107540124e-4,"cx1_2: 8.150e-3 , cx1_0: 1.959e-2 "
2,4.782925142804831,159.75728494728185,223.08207377795327,9.499999999999997e-2,2.502457631238469e-4,"cx2_3: 1.827e-2 , cx2_1: 8.150e-3 "
3,4.858120949324476,83.75274355193291,132.34114874280542,1.8280000000000007e-1,2.7558549103777505e-3,"cx3_4: 2.762e-2 , cx3_2: 1.827e-2 "
4,4.978347899960723,98.58497552553533,150.36388735185622,3.4599999999999964e-2,3.6092193052976446e-4,"cx4_3: 2.762e-2 "
