,timestamp,Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Single-qubit U2 error,CNOT error,Sqrt-x (sx) error,Readout assignment error,√x (sx) error,Single-qubit Pauli-X error
0,2021-01-01 00:00:00,,5.000431537411943,105.10757355867916,53.76635338588577,0.04620000000000002,0.00038530661502480775,cx0_1: 2.520e-2 ,,,,
1,2021-01-01 00:00:00,1.0,4.84531118062166,134.41955589674689,55.510996567872354,0.03539999999999999,0.0002985975740957366,"cx1_2: 7.852e-3 , cx1_0: 2.520e-2 ",,,,
2,2021-01-01 00:00:00,2.0,4.7829245936087785,153.19206437398032,186.30740396317088,0.08389999999999997,0.00017097030091331653,"cx2_3: 6.615e-3 , cx2_1: 7.852e-3 ",,,,
3,2021-01-01 00:00:00,3.0,4.8581077538551805,128.97648341508184,118.71365939615373,0.05000000000000005,0.0002036232966623945,"cx3_4: 2.555e-2 , cx3_2: 6.615e-3 ",,,,
4,2021-01-01 00:00:00,4.0,4.978293826513782,82.02608634998764,9.284813348382224,0.0595,0.004847214838674466,cx4_3: 2.555e-2 ,,,,
5,2021-01-02 05:00:00,,5.000431537411943,105.10757355867916,53.76635338588577,0.04620000000000002,0.00038530661502480775,cx0_1: 2.520e-2 ,,,,
6,2021-01-02 05:00:00,1.0,4.84531118062166,134.41955589674689,55.510996567872354,0.03539999999999999,0.0002985975740957366,"cx1_2: 7.852e-3 , cx1_0: 2.520e-2 ",,,,
7,2021-01-02 05:00:00,2.0,4.7829245936087785,153.19206437398032,186.30740396317088,0.08389999999999997,0.00017097030091331653,"cx2_3: 6.615e-3 , cx2_1: 7.852e-3 ",,,,
8,2021-01-02 05:00:00,3.0,4.8581077538551805,128.97648341508184,118.71365939615373,0.05000000000000005,0.0002036232966623945,"cx3_4: 2.555e-2 , cx3_2: 6.615e-3 ",,,,
9,2021-01-02 05:00:00,4.0,4.978293826513782,82.02608634998764,9.284813348382224,0.0595,0.004847214838674466,cx4_3: 2.555e-2 ,,,,
10,2021-01-03 23:32:00,,5.000431537411943,105.10757355867916,53.76635338588577,0.04620000000000002,0.00038530661502480775,cx0_1: 2.520e-2 ,,,,
11,2021-01-03 23:32:00,1.0,4.84531118062166,134.41955589674689,55.510996567872354,0.03539999999999999,0.0002985975740957366,"cx1_2: 7.852e-3 , cx1_0: 2.520e-2 ",,,,
12,2021-01-03 23:32:00,2.0,4.7829245936087785,153.19206437398032,186.30740396317088,0.08389999999999997,0.00017097030091331653,"cx2_3: 6.615e-3 , cx2_1: 7.852e-3 ",,,,
13,2021-01-03 23:32:00,3.0,4.8581077538551805,128.97648341508184,118.71365939615373,0.05000000000000005,0.0002036232966623945,"cx3_4: 2.555e-2 , cx3_2: 6.615e-3 ",,,,
14,2021-01-03 23:32:00,4.0,4.978293826513782,82.02608634998764,9.284813348382224,0.0595,0.004847214838674466,cx4_3: 2.555e-2 ,,,,
15,2021-01-04 23:16:00,,5.00043454516112,92.65604580962427,136.48024732388535,0.05410000000000004,0.0003751435531256596,cx0_1: 2.049e-2 ,,,,
16,2021-01-04 23:16:00,1.0,4.845328996230571,134.64243330371835,86.55435863092423,0.040000000000000036,0.00022511450364508056,"cx1_2: 8.339e-3 , cx1_0: 2.049e-2 ",,,,
17,2021-01-04 23:16:00,2.0,4.7829237266543245,153.19206437398032,231.11708451495014,0.0857,0.00015826823526271768,"cx2_3: 7.873e-3 , cx2_1: 8.339e-3 ",,,,
18,2021-01-04 23:16:00,3.0,4.858108487763915,137.5769288898709,218.25981014660286,0.055199999999999916,0.0001957446596433832,"cx3_4: 1.685e-2 , cx3_2: 7.873e-3 ",,,,
19,2021-01-04 23:16:00,4.0,4.978336810364472,80.42361224293175,117.96508663887579,0.05220000000000002,0.0006051478107206121,cx4_3: 1.685e-2 ,,,,
20,2021-01-05 11:17:00,,5.000431791184486,91.14637556349905,134.04315017775068,0.0484,0.0004456081900509977,cx0_1: 2.589e-2 ,,,,
21,2021-01-05 11:17:00,1.0,4.845304989269025,134.64243330371835,62.59716562810811,0.038000000000000034,0.00021227075928241792,"cx1_2: 7.466e-3 , cx1_0: 2.589e-2 ",,,,
22,2021-01-05 11:17:00,2.0,4.782924107189063,130.92762540902498,134.28712037806866,0.0817,0.0001582719280122067,"cx2_3: 7.122e-3 , cx2_1: 7.466e-3 ",,,,
23,2021-01-05 11:17:00,3.0,4.85810922704102,160.1764439919263,240.5322081029662,0.051799999999999964,0.00017917218651898766,"cx3_4: 1.961e-2 , cx3_2: 7.122e-3 ",,,,
24,2021-01-05 11:17:00,4.0,4.978348503278567,87.44611213627913,165.52617272193038,0.044300000000000006,0.00047977560448505185,cx4_3: 1.961e-2 ,,,,
25,2021-01-05 13:02:00,,5.000431791184486,91.14637556349905,134.04315017775068,0.0484,0.0004456081900509977,cx0_1: 2.589e-2 ,,,,
26,2021-01-05 13:02:00,1.0,4.845304989269025,134.64243330371835,62.59716562810811,0.038000000000000034,0.00021227075928241792,"cx1_2: 7.466e-3 , cx1_0: 2.589e-2 ",,,,
27,2021-01-05 13:02:00,2.0,4.782924107189063,130.92762540902498,134.28712037806866,0.0817,0.0001582719280122067,"cx2_3: 7.122e-3 , cx2_1: 7.466e-3 ",,,,
28,2021-01-05 13:02:00,3.0,4.85810922704102,160.1764439919263,240.5322081029662,0.051799999999999964,0.00017917218651898766,"cx3_4: 1.961e-2 , cx3_2: 7.122e-3 ",,,,
