,timestamp,Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
0,2021-03-14 22:44:00,,5.1132858175667515,74.33681006028604,125.86010300467457,0.00047223202546442414,0.00047223202546442414,0.02950000000000008,cx0_1: 1.102e-2 
1,2021-03-14 22:44:00,1.0,5.161152461345137,78.33733253008349,95.39841946382772,0.0005309221829501179,0.0005309221829501179,0.01629999999999998,"cx1_0: 1.102e-2 , cx1_4: 9.283e-3 , cx1_2: 1.086e-2 "
2,2021-03-14 22:44:00,2.0,5.310951208113901,57.800844463852975,85.46094896261314,0.0003937530714469436,0.0003937530714469436,0.04570000000000008,"cx2_3: 1.278e-2 , cx2_1: 1.086e-2 "
3,2021-03-14 22:44:00,3.0,5.460040341211792,63.27733825229555,71.40209920439439,0.000952706794174752,0.000952706794174752,0.026399999999999983,"cx3_2: 1.278e-2 , cx3_5: 1.151e-2 "
4,2021-03-14 22:44:00,4.0,5.353524854176468,72.09088410419936,52.55027336411779,0.001250452054748148,0.001250452054748148,0.09099999999999996,"cx4_7: 5.858e-2 , cx4_1: 9.283e-3 "
5,2021-03-14 22:44:00,5.0,5.3034935753641275,81.39520857719405,93.3468177668528,0.0006034381612874535,0.0006034381612874535,0.015800000000000036,"cx5_3: 1.151e-2 , cx5_8: 7.761e-3 "
6,2021-03-14 22:44:00,6.0,5.136348524957118,99.53107852259629,14.546264012967319,0.00027745710018249256,0.00027745710018249256,0.01100000000000001,cx6_7: 6.849e-3 
7,2021-03-14 22:44:00,7.0,5.202520416176681,96.80385384780158,119.12660537292135,0.0002499858390885572,0.0002499858390885572,0.01419999999999999,"cx7_4: 5.858e-2 , cx7_6: 6.849e-3 , cx7_10: 6.952e-3 "
8,2021-03-14 22:44:00,8.0,5.174619212994582,82.40346061616481,122.26143941624242,0.000255831821268333,0.000255831821268333,0.01760000000000006,"cx8_9: 8.236e-3 , cx8_11: 7.457e-3 , cx8_5: 7.761e-3 "
9,2021-03-14 22:44:00,9.0,5.253698736075692,113.21691488137164,80.90314505105852,0.00023477191927397115,0.00023477191927397115,0.01419999999999999,cx9_8: 8.236e-3 
10,2021-03-14 22:44:00,10.0,5.426608097942059,80.44969414952259,107.21600223780895,0.00026761160087123684,0.00026761160087123684,0.014699999999999937,"cx10_12: 1.247e-2 , cx10_7: 6.952e-3 "
11,2021-03-14 22:44:00,11.0,5.390189223675648,61.186213578549186,79.87537743203636,0.00033492608267491887,0.00033492608267491887,0.038699999999999964,"cx11_8: 7.457e-3 , cx11_14: 7.624e-3 "
12,2021-03-14 22:44:00,12.0,5.263118855581522,54.45489405719578,93.44418844367256,0.0002233245404532999,0.0002233245404532999,0.014299999999999981,"cx12_15: 8.519e-3 , cx12_10: 1.247e-2 , cx12_13: 7.889e-3 "
13,2021-03-14 22:44:00,13.0,5.038191623986066,128.90224703077772,49.46082630031545,0.0003425023065714996,0.0003425023065714996,0.015700000000000047,"cx13_12: 7.889e-3 , cx13_14: 7.992e-3 "
14,2021-03-14 22:44:00,14.0,5.205027382858501,87.19010281199526,121.29378634855776,0.00022460356894362597,0.00022460356894362597,0.015199999999999991,"cx14_11: 7.624e-3 , cx14_13: 7.992e-3 "
15,2021-03-14 22:44:00,15.0,5.125408061137159,114.7078872185795,153.69026347972599,0.00031722555399945555,0.00031722555399945555,0.01760000000000006,cx15_12: 8.519e-3 
16,2021-03-15 14:25:00,,5.11328696845763,74.33681006028604,65.14914397154652,0.0004162758838926056,0.0004162758838926056,0.01859999999999995,cx0_1: 9.956e-3 
17,2021-03-15 14:25:00,1.0,5.1611534524955855,50.83575129846451,98.18635674018921,0.00046702291395803397,0.00046702291395803397,0.01719999999999999,"cx1_0: 9.956e-3 , cx1_4: 7.142e-3 , cx1_2: 1.406e-2 "
18,2021-03-15 14:25:00,2.0,5.310976101361828,46.811043203848534,63.71532268941946,0.0003561611134566948,0.0003561611134566948,0.04349999999999998,"cx2_3: 1.596e-2 , cx2_1: 1.406e-2 "
19,2021-03-15 14:25:00,3.0,5.460082379501982,77.45520439674695,74.13299760107776,0.001829455897420316,0.001829455897420316,0.026399999999999983,"cx3_2: 1.596e-2 , cx3_5: 1.304e-2 "
20,2021-03-15 14:25:00,4.0,5.353503996227438,61.26453999055254,66.35038035723151,0.00025091163269153993,0.00025091163269153993,0.013199999999999991,"cx4_7: 1.023e-2 , cx4_1: 7.142e-3 "
21,2021-03-15 14:25:00,5.0,5.303494808504548,87.80762404751475,113.23208288922865,0.0003654037311370105,0.0003654037311370105,0.015299999999999982,"cx5_3: 1.304e-2 , cx5_8: 7.972e-3 "
22,2021-03-15 14:25:00,6.0,5.136353645854866,70.23777884041428,14.546264012967319,0.00028662113274313813,0.00028662113274313813,0.015800000000000036,cx6_7: 8.498e-3 
23,2021-03-15 14:25:00,7.0,5.202523088049659,84.40361868753719,115.1478379702318,0.0002285675467901869,0.0002285675467901869,0.013199999999999991,"cx7_4: 1.023e-2 , cx7_6: 8.498e-3 , cx7_10: 7.167e-3 "
24,2021-03-15 14:25:00,8.0,5.174624270192654,50.84524265903211,71.13765401666855,0.00028982781636297146,0.00028982781636297146,0.020499999999999963,"cx8_9: 9.240e-3 , cx8_11: 7.388e-3 , cx8_5: 7.972e-3 "
25,2021-03-15 14:25:00,9.0,5.253700264877755,126.03950516706759,76.54017103390895,0.00023076407349124784,0.00023076407349124784,0.016000000000000014,cx9_8: 9.240e-3 
