,timestamp,Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error,Readout assignment error,√x (sx) error,Single-qubit Pauli-X error
0,2021-02-12 17:00:00,0.0,5.300360469630854,48.20665681241418,21.848630247720383,0.04760000000000009,0.0004236066083677446,cx0_1: 1.237e-2 ,,,
1,2021-02-12 17:00:00,1.0,5.080785840158447,56.220081397609384,58.85290618877284,0.07919999999999994,0.0014216069929862342,"cx1_3: 1.326e-2 , cx1_2: 1.730e-2 , cx1_0: 1.237e-2 ",,,
2,2021-02-12 17:00:00,2.0,5.32228729298496,65.91805640550429,82.38365566987623,0.02350000000000008,0.0005874387045920634,cx2_1: 1.730e-2 ,,,
3,2021-02-12 17:00:00,3.0,5.1637210242939195,115.25955198494549,15.938351440525345,0.022599999999999957,0.0010991387412189637,"cx3_4: 1.597e-2 , cx3_1: 1.326e-2 ",,,
4,2021-02-12 17:00:00,4.0,5.052589304082471,116.98341613401865,166.41314514961505,0.017800000000000038,0.0006885359418310798,cx4_3: 1.597e-2 ,,,
5,2021-02-13 10:00:00,0.0,5.300360469630854,48.20665681241418,21.848630247720383,0.04760000000000009,0.0004236066083677446,cx0_1: 1.237e-2 ,,,
6,2021-02-13 10:00:00,1.0,5.080785840158447,56.220081397609384,58.85290618877284,0.07919999999999994,0.0014216069929862342,"cx1_3: 1.326e-2 , cx1_2: 1.730e-2 , cx1_0: 1.237e-2 ",,,
7,2021-02-13 10:00:00,2.0,5.32228729298496,65.91805640550429,82.38365566987623,0.02350000000000008,0.0005874387045920634,cx2_1: 1.730e-2 ,,,
8,2021-02-13 10:00:00,3.0,5.1637210242939195,115.25955198494549,15.938351440525345,0.022599999999999957,0.0010991387412189637,"cx3_4: 1.597e-2 , cx3_1: 1.326e-2 ",,,
9,2021-02-13 10:00:00,4.0,5.052589304082471,116.98341613401865,166.41314514961505,0.017800000000000038,0.0006885359418310798,cx4_3: 1.597e-2 ,,,
10,2021-02-15 14:00:00,0.0,5.300360469630854,48.20665681241418,21.848630247720383,0.04760000000000009,0.0004236066083677446,cx0_1: 1.237e-2 ,,,
11,2021-02-15 14:00:00,1.0,5.080785840158447,56.220081397609384,58.85290618877284,0.07919999999999994,0.0014216069929862342,"cx1_3: 1.326e-2 , cx1_2: 1.730e-2 , cx1_0: 1.237e-2 ",,,
12,2021-02-15 14:00:00,2.0,5.32228729298496,65.91805640550429,82.38365566987623,0.02350000000000008,0.0005874387045920634,cx2_1: 1.730e-2 ,,,
13,2021-02-15 14:00:00,3.0,5.1637210242939195,115.25955198494549,15.938351440525345,0.022599999999999957,0.0010991387412189637,"cx3_4: 1.597e-2 , cx3_1: 1.326e-2 ",,,
14,2021-02-15 14:00:00,4.0,5.052589304082471,116.98341613401865,166.41314514961505,0.017800000000000038,0.0006885359418310798,cx4_3: 1.597e-2 ,,,
15,2021-02-16 14:00:00,0.0,5.300360469630854,48.20665681241418,21.848630247720383,0.04760000000000009,0.0004236066083677446,cx0_1: 1.237e-2 ,,,
16,2021-02-16 14:00:00,1.0,5.080785840158447,56.220081397609384,58.85290618877284,0.07919999999999994,0.0014216069929862342,"cx1_3: 1.326e-2 , cx1_2: 1.730e-2 , cx1_0: 1.237e-2 ",,,
17,2021-02-16 14:00:00,2.0,5.32228729298496,65.91805640550429,82.38365566987623,0.02350000000000008,0.0005874387045920634,cx2_1: 1.730e-2 ,,,
18,2021-02-16 14:00:00,3.0,5.1637210242939195,115.25955198494549,15.938351440525345,0.022599999999999957,0.0010991387412189637,"cx3_4: 1.597e-2 , cx3_1: 1.326e-2 ",,,
19,2021-02-16 14:00:00,4.0,5.052589304082471,116.98341613401865,166.41314514961505,0.017800000000000038,0.0006885359418310798,cx4_3: 1.597e-2 ,,,
20,2021-02-18 14:25:00,0.0,5.300357086148073,48.20665681241418,21.848630247720383,0.05459999999999998,0.0002921540394614548,cx0_1: 9.450e-3 ,,,
21,2021-02-18 14:25:00,1.0,5.080790140199629,89.181554399999,139.61078208755012,0.017000000000000015,0.0004061002063745384,"cx1_3: 1.034e-2 , cx1_2: 1.077e-2 , cx1_0: 9.450e-3 ",,,
22,2021-02-18 14:25:00,2.0,5.322283555192287,62.06094082077522,82.42382623667561,0.02980000000000005,0.0006081350891327204,cx2_1: 1.077e-2 ,,,
23,2021-02-18 14:25:00,3.0,5.163732687877598,62.055865089313784,15.938351440525345,0.029700000000000063,0.0007691921210064563,"cx3_4: 1.516e-2 , cx3_1: 1.034e-2 ",,,
24,2021-02-18 14:25:00,4.0,5.052585900361648,87.88580522660239,82.31601171272989,0.02089999999999992,0.000811084850079483,cx4_3: 1.516e-2 ,,,
25,2021-02-19 10:00:00,0.0,5.300360469630854,48.20665681241418,21.848630247720383,0.04760000000000009,0.0004236066083677446,cx0_1: 1.237e-2 ,,,
26,2021-02-19 10:00:00,1.0,5.080785840158447,56.220081397609384,58.85290618877284,0.07919999999999994,0.0014216069929862342,"cx1_3: 1.326e-2 , cx1_2: 1.730e-2 , cx1_0: 1.237e-2 ",,,
27,2021-02-19 10:00:00,2.0,5.32228729298496,65.91805640550429,82.38365566987623,0.02350000000000008,0.0005874387045920634,cx2_1: 1.730e-2 ,,,
28,2021-02-19 10:00:00,3.0,5.1637210242939195,115.25955198494549,15.938351440525345,0.022599999999999957,0.0010991387412189637,"cx3_4: 1.597e-2 , cx3_1: 1.326e-2 ",,,
