Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Single-qubit U2 error,CNOT error
,4.822065499049704,86.19856939821464,53.55804054071999,2.410000000000001e-2,2.82145950173903e-4,"cx0_1: 1.179e-2 "
1,4.759937427438571,141.26164365124637,121.9079290182653,1.1199999999999988e-2,2.8321004359552475e-4,"cx1_3: 1.020e-2 , cx1_2: 1.064e-2 , cx1_0: 1.179e-2 "
2,4.907313528229984,94.38744047812173,154.66676391011978,1.0599999999999943e-2,2.9969709493271607e-4,"cx2_1: 1.064e-2 "
3,4.878967710740858,59.0537291767897,101.48350621609744,1.750000000000007e-2,2.958377176507687e-4,"cx3_5: 9.553e-3 , cx3_1: 1.020e-2 "
4,4.870899049505878,78.66161778264764,30.763180673044985,2.059999999999995e-2,2.4323231722817983e-4,"cx4_5: 8.030e-3 "
5,4.963966311354191,82.90468891121807,106.4385070470246,1.0000000000000009e-2,2.2959488678530844e-4,"cx5_6: 9.964e-3 , cx5_4: 8.030e-3 , cx5_3: 9.553e-3 "
6,5.176998468581195,102.86669459481308,163.4846709735863,1.3299999999999979e-2,2.6851055633700177e-4,"cx6_5: 9.964e-3 "
