Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,103.63243638175891,18.38638524492989,4.795979969237757,7.499999999999996e-2,6.24976091201105e-4,"cx0_1: 8.640e-3"
Q1,84.6860931339433,107.05903543472644,4.940047073508749,2.5000000000000022e-2,1.0762527408748326e-3,"cx1_0: 8.640e-3, cx1_2: 7.080e-3, cx1_3: 1.412e-2"
Q2,87.3227835613562,147.87062575061302,4.833251253893214,1.8000000000000016e-2,8.058099153636396e-4,"cx2_1: 7.080e-3"
Q3,121.67272929121272,110.11870009217013,4.80798987894967,2.8000000000000025e-2,1.1442917310245835e-3,"cx3_1: 1.412e-2, cx3_4: 1.010e-2"
Q4,89.93517887986785,40.46673600028825,4.749898826108464,2.300000000000002e-2,1.194419540323019e-3,"cx4_3: 1.010e-2"
