Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Single-qubit U2 error,CNOT error
,4.822063707493007,95.78016537359113,53.77796990548029,2.5900000000000034e-2,4.2055349266092697e-4,"cx0_1: 1.275e-2 "
1,4.759938975575247,93.64367439069233,101.782121450405,1.3000000000000012e-2,3.046560264308758e-4,"cx1_3: 9.918e-3 , cx1_2: 7.226e-3 , cx1_0: 1.275e-2 "
2,4.90731729625442,96.61321743791629,140.13567396095215,1.0800000000000032e-2,2.3224353384318383e-4,"cx2_1: 7.226e-3 "
3,4.878969346009524,107.44372699496375,203.70357803398926,1.6699999999999937e-2,2.649840874465403e-4,"cx3_5: 1.026e-2 , cx3_1: 9.918e-3 "
4,4.870910735621261,84.85484204791639,35.909917985056325,2.190000000000003e-2,2.893113315652496e-4,"cx4_5: 8.406e-3 "
5,4.963969584625504,90.12767556959172,160.33541129015612,1.6100000000000003e-2,2.8531836094664167e-4,"cx5_6: 1.104e-2 , cx5_4: 8.406e-3 , cx5_3: 1.026e-2 "
6,5.176997939322798,97.48875717096176,190.33000420406722,1.31e-2,2.544047592916635e-4,"cx6_5: 1.104e-2 "
