Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.175372215048911,62.98542434123469,113.27455575611289,8.299999999999974e-3,0.0003155142404553197,"cx0_1: 8.799e-3 "
1,5.267217433681102,52.62706900417528,72.37122550377853,1.200000000000001e-2,0.00030606461780242504,"cx1_2: 7.342e-3 , cx1_0: 8.799e-3 "
2,5.05237818068878,97.69383327780275,116.87742836768666,2.1600000000000064e-2,0.0002496942699321956,"cx2_3: 1.638e-2 , cx2_1: 7.342e-3 "
3,4.855921972187636,45.42936186724191,18.721872806526004,1.9299999999999984e-2,0.001011334836843431,"cx3_4: 1.382e-2 , cx3_2: 1.638e-2 "
4,5.118557659992642,95.54008192460962,135.09030815342166,1.8100000000000005e-2,0.0002481406399157335,"cx4_3: 1.382e-2 "
