Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.300357223371288,48.206656812414174,26.816912572265807,2.643924390579722e-4,2.643924390579722e-4,4.679999999999995e-2,"cx0_1: 1.002e-2 "
1,5.080841033799927,79.65004718327363,133.6818580673077,3.6655031358279693e-4,3.6655031358279693e-4,2.4399999999999977e-2,"cx1_3: 2.254e-2 , cx1_2: 2.436e-2 , cx1_0: 1.002e-2 "
2,5.322268481503753,16.833239692533123,25.373037066694618,1.0740533155478953e-3,1.0740533155478953e-3,5.459999999999998e-2,"cx2_1: 2.436e-2 "
3,5.163797387249496,79.37939345680275,13.10258921886992,1.7602257898832953e-3,1.7602257898832953e-3,2.8299999999999992e-2,"cx3_4: 1.926e-2 , cx3_1: 2.254e-2 "
4,5.052595845411361,88.57619846714591,147.55884157401795,6.800731126192763e-4,6.800731126192763e-4,3.5800000000000054e-2,"cx4_3: 1.926e-2 "
