Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.00043119733665,87.83168129130695,127.089595236235,3.4399999999999986e-2,0.0003874089954892425,"cx0_1: 2.544e-2 "
1,4.843764001577778,102.78004129531175,60.69093795017692,3.8900000000000046e-2,0.00023703884767273568,"cx1_2: 7.079e-3 , cx1_0: 2.544e-2 "
2,4.782949126517752,149.39587450514549,143.09911108644945,1.9419999999999993e-1,0.0005495777503840021,"cx2_3: 5.666e-3 , cx2_1: 7.079e-3 "
3,4.858089193787186,126.75564865919391,149.76694465307935,9.919999999999995e-2,0.00021512124739963634,"cx3_4: 6.940e-3 , cx3_2: 5.666e-3 "
4,4.978333319945034,108.80065970892313,141.04462477282445,3.859999999999997e-2,0.00017324698237821258,"cx4_3: 6.940e-3 "
