Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.300356488045914,48.206656812414174,21.848630247720383,5.289999999999995e-2,0.00036916319211301066,"cx0_1: 7.787e-3 "
1,5.080784376926235,103.5281711039538,113.6692307570426,1.9299999999999984e-2,0.00025637602451348803,"cx1_3: 2.430e-2 , cx1_2: 1.040e-2 , cx1_0: 7.787e-3 "
2,5.322286115597756,88.69800204787877,76.78892505328332,3.7900000000000045e-2,0.0007604377522687746,"cx2_1: 1.040e-2 "
3,5.163752165313458,73.70215311524547,8.419660960945974,1.058e-1,0.0017986656542096258,"cx3_4: 1.874e-2 , cx3_1: 2.430e-2 "
4,5.052588490642109,66.95663882196459,80.9478452009326,2.529999999999999e-2,0.0006435213224151973,"cx4_3: 1.874e-2 "
