Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,4.7438861753857955,91.96451654693047,47.53246551927182,3.489999999999993e-2,0.00040975002355476985,"cx0_1: 8.726e-3 "
1,4.660925865319831,96.50770921970218,45.111000867051885,2.4499999999999966e-2,0.0003580964150443456,"cx1_3: 1.132e-2 , cx1_2: 1.487e-2 , cx1_0: 8.726e-3 "
2,4.792497505439011,141.55917989636635,63.06519989726964,4.730000000000001e-2,0.0008350829336473476,"cx2_1: 1.487e-2 "
3,4.834412551312521,114.71100711206354,43.47122342107632,2.1200000000000108e-2,0.0007737214779138442,"cx3_4: 2.307e-2 , cx3_1: 1.132e-2 "
4,4.9595167754520375,11.881977138098776,17.545751087710116,1.8399999999999972e-2,0.0011498645791120055,"cx4_3: 2.307e-2 "
