Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,104.63183754341955,18.38638524492989,4.795917473038525,7.299999999999995e-2,7.838579019575011e-4,"cx0_1: 1.554e-2"
Q1,38.53339438715898,53.267650058523664,4.940045404734943,1.5000000000000013e-2,2.072236600051873e-3,"cx1_0: 1.554e-2, cx1_2: 1.413e-2, cx1_3: 1.907e-2"
Q2,108.77485712099481,108.00879361397641,4.833247887512072,1.100000000000001e-2,7.358140786246727e-4,"cx2_1: 1.413e-2"
Q3,115.23203983590096,83.73290030209417,4.807990280744992,1.3000000000000012e-2,9.574614986260762e-4,"cx3_1: 1.907e-2, cx3_4: 1.050e-2"
Q4,70.17155441875136,48.84570520106248,4.749894979236563,2.400000000000002e-2,1.2921564298591956e-3,"cx4_3: 1.050e-2"
