Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,66.51500591525576,25.216022580262543,5.100140588197054,2.5800000000000045e-2,4.9181662526420755e-3,
Q1,47.68776298192221,57.520715343553384,5.238523672814732,7.220000000000004e-2,1.3517024913689446e-2,"CX1_0: 4.649e-2, CX1_2: 4.624e-2"
Q2,55.24885590107975,119.98331243276357,5.032572036884155,3.63e-2,8.716738664996337e-3,"CX2_3: 4.353e-2"
Q3,91.36383676576845,69.85690509950983,4.896231181714744,5.0000000000000044e-2,1.6746381049387304e-3,
Q4,39.01983649698472,33.73167245216531,5.030681754649547,6.330000000000002e-2,6.614535515865438e-3,"CX4_3: 6.180e-2, CX4_10: 9.332e-2"
Q5,26.668297524814314,48.5594200766229,5.067164863373092,5.380000000000007e-2,5.306948290610181e-3,"CX5_4: 7.083e-2, CX5_6: 1.218e-1, CX5_9: 6.019e-2"
Q6,41.805332676364266,65.78548145552723,4.923817189993219,3.7900000000000045e-2,3.224207024867587e-3,"CX6_8: 3.835e-2"
Q7,52.63777608861119,84.71819022712705,4.974544866584312,1.7830000000000001e-1,3.8693364692439225e-3,"CX7_8: 3.150e-2"
Q8,47.74764462034162,71.21062385190729,4.739562731830284,6.889999999999996e-2,4.023906488471618e-3,
Q9,44.60774700030393,73.08140582793087,4.9633781612738685,3.7800000000000056e-2,6.531539460555069e-3,"CX9_8: 5.939e-2, CX9_10: 5.344e-2"
Q10,48.6578761393757,60.5194556409867,4.94506033517924,9.460000000000002e-2,3.791229527090323e-3,
Q11,68.09600672722854,106.93824869855179,5.005001038615716,6.379999999999997e-2,3.7863900481387436e-3,"CX11_3: 3.225e-2, CX11_10: 3.935e-2, CX11_12: 3.814e-2"
Q12,53.875610277675506,104.42482184687285,4.759964534295672,4.469999999999996e-2,7.462591153786113e-3,"CX12_2: 7.562e-2"
Q13,23.64850089163339,46.477699577548215,4.968531763267672,7.950000000000002e-2,1.4430845110812385e-2,"CX13_1: 1.347e-1, CX13_12: 4.982e-2"
