Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,59.95231393424264,50.06245500294792,5.286309990477918,1.1500000000000066e-2,1.207868020297079e-3,"cx0_1: 1.298e-2, cx0_2: 1.518e-2"
Q1,54.88695946735971,40.19625735643793,5.237861842590259,1.200000000000001e-2,9.804600996089169e-4,"cx1_0: 1.298e-2, cx1_2: 1.687e-2"
Q2,57.12962540253321,71.94862684681662,5.030278672117527,1.750000000000007e-2,1.0669087501645965e-3,"cx2_0: 1.518e-2, cx2_1: 1.687e-2, cx2_3: 1.175e-2, cx2_4: 1.174e-2"
Q3,58.68853886983703,29.84230028289292,5.29603689703813,6.49999999999995e-3,7.582718037517758e-4,"cx3_2: 1.175e-2, cx3_4: 1.094e-2"
Q4,48.94295556926151,40.62967517372205,5.084713489310088,4.75000000000001e-2,7.717462672144139e-4,"cx4_2: 1.174e-2, cx4_3: 1.094e-2"
