Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Single-qubit U2 error,CNOT error
,4.968699730664813,82.41197437226421,69.05040834896423,2.939999999999998e-2,2.421560309429622e-4,"cx0_1: 7.231e-3 "
1,4.770093012460519,79.56978156315454,69.7060103377687,3.090000000000004e-2,2.934289435493172e-4,"cx1_2: 2.127e-2 , cx1_0: 7.231e-3 "
2,5.015160458024787,76.22018162602778,112.8096599243567,2.5599999999999956e-2,3.008728655084614e-4,"cx2_3: 7.664e-3 , cx2_1: 2.127e-2 "
3,5.259262987650563,98.04174762375904,142.22833682695386,2.4900000000000033e-2,3.0360048880584254e-4,"cx3_4: 1.708e-2 , cx3_2: 7.664e-3 "
4,4.997619194705873,72.67400393022929,110.78683844561692,3.5599999999999965e-2,6.379604339195688e-4,"cx4_3: 1.708e-2 "
