Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,80.41602773743168,24.782858985123706,5.100154236646722,3.689999999999993e-2,3.27253334631028e-3,
Q1,52.876511625830815,76.16213183326505,5.238522797154009,1.028e-1,1.030946591413806e-2,"CX1_0: 3.263e-2, CX1_2: 2.896e-2"
Q2,62.19342565687647,103.9104623396801,5.032645432084309,3.7900000000000045e-2,4.812594165292672e-3,"CX2_3: 3.953e-2"
Q3,70.34837916457309,66.09165241517016,4.896244639742003,3.5700000000000065e-2,2.4082560533777997e-3,
Q4,46.95435325000602,17.682607375036255,5.030626632555936,6.529999999999991e-2,6.971624830708012e-3,"CX4_3: 1.147e-1, CX4_10: 8.363e-2"
Q5,24.86308721735311,36.441954392199484,5.0671614792355255,6.370000000000009e-2,6.8536677139030555e-3,"CX5_4: 1.130e-1, CX5_6: 8.473e-2, CX5_9: 8.417e-2"
Q6,65.85006072597602,77.75357739661034,4.923822717762865,3.490000000000004e-2,4.3883927118200106e-3,"CX6_8: 8.774e-2"
Q7,45.48950363654777,64.74020608270095,4.974565280839289,1.2339999999999995e-1,2.618676349265936e-3,"CX7_8: 3.343e-2"
Q8,61.75504215654837,80.00957170385037,4.739555706737762,4.2100000000000026e-2,3.831324277537518e-3,
Q9,45.97806831258694,71.3263960723933,4.963379511405911,3.539999999999999e-2,5.789326964163899e-3,"CX9_8: 7.355e-2, CX9_10: 5.656e-2"
Q10,51.39428569660041,51.53475079828699,4.945063827040827,6.86e-2,3.466967703230628e-3,
Q11,66.002108977564,87.75655343938287,5.005001227892556,4.689999999999994e-2,3.7935303295896228e-3,"CX11_3: 2.867e-2, CX11_10: 3.383e-2, CX11_12: 4.442e-2"
Q12,52.041366828961486,95.48783223165334,4.759961908223644,7.730000000000004e-2,1.0077381720847156e-2,"CX12_2: 7.835e-2"
Q13,22.760786103916175,39.32715840144919,4.968528343213954,5.5199999999999916e-2,9.84628646666319e-3,"CX13_1: 1.821e-1, CX13_12: 4.788e-2"
