Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,77.53391031640288,27.369415794877472,5.100139001650462,3.73e-2,3.6868016966647987e-3,
Q1,54.776253386429694,87.84590856169318,5.238522101669388,4.800000000000004e-2,1.812808090800777e-2,"CX1_0: 3.501e-2, CX1_2: 4.384e-2"
Q2,68.23646058804066,135.54069158006578,5.032581867814857,4.610000000000003e-2,8.328846919343325e-3,"CX2_3: 5.379e-2"
Q3,39.69255751156684,42.02533784970027,4.896241830138954,2.4929999999999997e-1,8.429187783179692e-3,
Q4,47.87481607414786,23.482646731417212,5.02992012558314,4.920000000000002e-2,1.1940476108023734e-2,"CX4_3: 5.490e-2, CX4_10: 4.779e-2"
Q5,26.89118042826123,43.171583654122855,5.067163767933408,6.169999999999998e-2,4.664161637445985e-3,"CX5_4: 1.051e-1, CX5_6: 5.013e-2, CX5_9: 5.714e-2"
Q6,55.46819103412226,59.34918338468549,4.923834641001184,3.0899999999999928e-2,2.5258080654415593e-3,"CX6_8: 3.534e-2"
Q7,32.570517411616194,59.63328565757074,4.974568630527391,2.067e-1,4.018281783073174e-3,"CX7_8: 3.514e-2"
Q8,62.66399480477028,104.2873347259099,4.739549528523944,1.0919999999999996e-1,3.1630966744491396e-3,
Q9,47.42793346143814,93.96110071842926,4.963379180525207,3.2299999999999995e-2,5.735419342390413e-3,"CX9_8: 4.412e-2, CX9_10: 4.860e-2"
Q10,42.409496365150304,56.500791629153106,4.945057760938602,3.8899999999999935e-2,3.264100484312582e-3,
Q11,63.531195406128845,113.52035784259685,5.005006055830855,2.42e-2,3.3515065039390057e-3,"CX11_3: 5.313e-2, CX11_10: 3.113e-2, CX11_12: 5.762e-2"
Q12,70.55731338694532,120.02245579832339,4.760084878941523,5.34e-2,6.964935564658381e-3,"CX12_2: 9.203e-2"
Q13,20.897394690008092,21.321961613950982,4.968518389696869,1.1230000000000007e-1,1.9814187974866893e-2,"CX13_1: 3.535e-1, CX13_12: 1.117e-1"
