Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,46.33939366246716,10.877790306891807,5.100109837276846,2.4399999999999977e-2,8.403594989646379e-3,
Q1,68.533479184199,122.9731782724989,5.238515387455611,9.870000000000001e-2,1.2910480222068643e-2,"CX1_0: 4.815e-2, CX1_2: 4.209e-2"
Q2,63.56769659166274,13.764057578219871,5.032578766046398,3.739999999999999e-2,1.2536385888214041e-2,"CX2_3: 3.303e-2"
Q3,70.56818955600086,57.921007651822435,4.896221113823862,4.489999999999994e-2,3.679270513940347e-3,
Q4,47.72771433085595,19.97184029054351,5.0305379951015015,6.000000000000005e-2,7.026314131665434e-3,"CX4_3: 7.365e-2, CX4_10: 1.152e-1"
Q5,24.02474993904483,39.64904084450437,5.067164431138003,6.86e-2,4.415603129866996e-3,"CX5_4: 9.708e-2, CX5_6: 5.985e-2, CX5_9: 5.266e-2"
Q6,62.46857581794221,81.09508838292672,4.923825884856607,3.3299999999999996e-2,2.421904521957674e-3,"CX6_8: 4.277e-2"
Q7,43.84550152248912,87.7401504504246,4.974541338543724,8.909999999999996e-2,2.989116704119943e-3,"CX7_8: 3.749e-2"
Q8,53.78319011398247,92.2530874567602,4.739551458548252,4.830000000000001e-2,3.295833441059992e-3,
Q9,46.027662491091746,74.33015468313575,4.963380853894082,4.4499999999999984e-2,4.71379619322565e-3,"CX9_8: 5.439e-2, CX9_10: 4.428e-2"
Q10,45.31985306839249,54.56623581844384,4.945061202314381,1.0460000000000003e-1,3.8083466395361087e-3,
Q11,64.31414927699882,124.47948314659207,5.005001106177937,5.899999999999994e-2,3.7185683345395404e-3,"CX11_3: 5.045e-2, CX11_10: 4.726e-2, CX11_12: 3.967e-2"
Q12,61.804003377936624,95.16050443059926,4.759973386844287,7.269999999999999e-2,7.73432119591122e-3,"CX12_2: 9.190e-2"
Q13,22.747138988943725,38.012896421847564,4.968528983877681,4.630000000000001e-2,1.5292539000666516e-2,"CX13_1: 1.058e-1, CX13_12: 4.821e-2"
