Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,5.1753694227857405,71.12086268290037,140.37579457749055,1.0399999999999965e-2,0.00036346701146123585,"cx0_1: 1.063e-2 "
1,5.267199116812756,72.77829536162194,59.91907754208361,1.200000000000001e-2,0.00043094345772087426,"cx1_2: 7.392e-3 , cx1_0: 1.063e-2 "
2,5.052372650336811,114.06632727080694,139.8985510245352,1.8000000000000016e-2,0.00022513359010290168,"cx2_3: 9.860e-3 , cx2_1: 7.392e-3 "
3,4.855929821809563,46.77653711078395,21.21696406022194,3.600000000000003e-2,0.00033837084015536835,"cx3_4: 9.359e-3 , cx3_2: 9.860e-3 "
4,5.118562582504363,60.93521536186906,139.43848652428693,2.310000000000001e-2,0.00023778992291284171,"cx4_3: 9.359e-3 "
