Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Single-qubit U2 error,CNOT error
,5.00043454516112,92.65604580962426,136.48024732388535,5.410000000000004e-2,3.7514355312565957e-4,"cx0_1: 2.049e-2 "
1,4.845328996230571,134.64243330371835,86.55435863092423,4.0000000000000036e-2,2.2511450364508056e-4,"cx1_2: 8.339e-3 , cx1_0: 2.049e-2 "
2,4.7829237266543245,153.1920643739803,231.11708451495016,8.57e-2,1.5826823526271768e-4,"cx2_3: 7.873e-3 , cx2_1: 8.339e-3 "
3,4.858108487763915,137.5769288898709,218.25981014660292,5.5199999999999916e-2,1.9574465964338316e-4,"cx3_4: 1.685e-2 , cx3_2: 7.873e-3 "
4,4.978336810364472,80.42361224293175,117.96508663887579,5.2200000000000024e-2,6.05147810720612e-4,"cx4_3: 1.685e-2 "
