Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,64.30471353221425,22.58621872728962,5.100115183259046,4.13e-2,7.248668162085359e-3,
Q1,66.19664943970145,103.73528761218174,5.238511556695263,7.000000000000006e-2,1.661012718225041e-2,"CX1_0: 2.896e-2, CX1_2: 3.874e-2"
Q2,57.951830728092034,104.98499387014631,5.032571230400091,3.649999999999998e-2,6.344697361979956e-3,"CX2_3: 4.303e-2"
Q3,74.75180317142184,69.3064856024389,4.896230866067052,4.699999999999993e-2,2.1915112596830877e-3,
Q4,41.83205346692343,26.304992598347262,5.030680463035052,1.1499999999999999e-1,8.333398780225876e-3,"CX4_3: 6.972e-2, CX4_10: 6.914e-2"
Q5,25.969156510658784,54.585138225695694,5.067162140660723,5.7499999999999996e-2,4.943109687300162e-3,"CX5_4: 7.076e-2, CX5_6: 5.571e-2, CX5_9: 5.506e-2"
Q6,63.810773743147585,82.87027976267912,4.92381793111527,4.310000000000003e-2,2.5091213716483818e-3,"CX6_8: 1.069e-1"
Q7,25.51561800087305,42.167407994007206,4.974544478507811,1.1880000000000002e-1,4.296471293239179e-3,"CX7_8: 3.312e-2"
Q8,68.68412112215086,99.1482981213789,4.739565048831858,6.289999999999996e-2,3.4895058938542167e-3,
Q9,49.15338604084117,76.95664540332605,4.963378740231638,4.6499999999999986e-2,5.873615775092711e-3,"CX9_8: 5.567e-2, CX9_10: 4.732e-2"
Q10,58.93251188299439,67.5028627207678,4.9450613690240015,5.800000000000005e-2,3.8108385094456354e-3,
Q11,52.48974465541765,74.9600772483693,5.005000774642334,4.2300000000000004e-2,4.1537402402129775e-3,"CX11_3: 3.788e-2, CX11_10: 4.129e-2, CX11_12: 4.838e-2"
Q12,48.102626120954476,92.16594335516446,4.759965417543244,4.749999999999999e-2,9.699574737419003e-3,"CX12_2: 7.213e-2"
Q13,23.199236342883847,41.473690352718904,4.9685354300992595,5.579999999999996e-2,1.1406562093805306e-2,"CX13_1: 1.347e-1, CX13_12: 4.361e-2"
