Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,70.25159871055483,25.305030034130425,5.100121586736967,2.529999999999999e-2,6.052555088605693e-3,
Q1,54.690585934682076,95.3314626855561,5.2385284878854375,4.269999999999996e-2,1.1429859139548637e-2,"CX1_0: 4.950e-2, CX1_2: 1.544e-1"
Q2,61.52184768660763,110.39632595266711,5.032583187358076,4.2100000000000026e-2,6.747917610861021e-3,"CX2_3: 5.644e-2"
Q3,32.71651674331964,19.95244242542481,4.896240482240224,9.179999999999999e-2,8.858286528621973e-3,
Q4,37.972361993965166,24.61380345787981,5.029802871083056,4.069999999999996e-2,1.5888235602856793e-2,"CX4_3: 5.490e-2, CX4_10: 4.346e-2"
Q5,26.382271938200063,47.785838933244406,5.067161974680403,6.35e-2,4.254800911948409e-3,"CX5_4: 9.061e-2, CX5_6: 6.387e-2, CX5_9: 8.841e-2"
Q6,48.65938790362905,58.39411830086495,4.923828404690094,3.3299999999999996e-2,5.122273783899289e-3,"CX6_8: 4.229e-2"
Q7,43.49151056762506,66.71360853629409,4.974565495504037,1.8999999999999995e-1,3.77641429640041e-3,"CX7_8: 3.142e-2"
Q8,60.50902402171814,93.02540089180486,4.7395524188391125,3.180000000000005e-2,3.3255306928902106e-3,
Q9,41.99579260119147,64.59374390693803,4.9633858265968165,4.356e-1,4.1260225798237515e-3,"CX9_8: 4.138e-2, CX9_10: 7.539e-2"
Q10,50.186589013246426,59.69022011351268,4.945054671490906,5.120000000000002e-2,3.2517609313420515e-3,
Q11,62.572558347396885,107.25225767545238,5.005002102761537,2.2299999999999986e-2,3.1515479500502375e-3,"CX11_3: 4.642e-2, CX11_10: 3.650e-2, CX11_12: 5.397e-2"
Q12,77.18069414763836,125.27223978132565,4.760081220452501,3.0399999999999983e-2,9.590395107855088e-3,"CX12_2: 9.009e-2"
Q13,13.453750510858058,21.46032215130383,4.968520952021136,1.0199999999999998e-1,1.589125435050176e-2,"CX13_1: 3.535e-1, CX13_12: 8.079e-2"
