Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,89.02469336683963,12.732041894855987,4.795949172427158,7.799999999999996e-2,8.078842888346324e-4,"cx0_1: 1.008e-2"
Q1,90.56407414540983,52.9275166083394,4.940052067970174,1.3000000000000012e-2,1.099307645653361e-3,"cx1_0: 1.008e-2, cx1_2: 8.694e-3, cx1_3: 1.262e-2"
Q2,71.06991496743679,59.184554315179824,4.833254900305757,2.100000000000002e-2,1.3964136535670945e-3,"cx2_1: 8.694e-3"
Q3,93.86258266210861,107.97495142265858,4.807991334620224,1.7000000000000015e-2,1.2202012486143398e-3,"cx3_1: 1.262e-2, cx3_4: 7.552e-3"
Q4,98.21265026274415,42.45483174259974,4.749894527622116,1.200000000000001e-2,1.2829683152842956e-3,"cx4_3: 7.552e-3"
