Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.090168803165955,88.61743670611425,110.8667841722978,3.5800000000000054e-2,0.00018682719739810647,"cx0_1: 1.335e-2 "
1,5.245307492181558,80.35130386848564,92.08969057489273,2.6799999999999935e-2,0.0005255060644486252,"cx1_3: 8.856e-3 , cx1_2: 7.725e-3 , cx1_0: 1.335e-2 "
2,5.360978703742757,75.51646599225401,17.712333252946785,3.200000000000003e-2,0.00029336853079480726,"cx2_1: 7.725e-3 "
3,5.1708233803173655,70.46197561732698,80.90252188520462,1.8100000000000005e-2,0.00028901982234391817,"cx3_4: 9.330e-3 , cx3_1: 8.856e-3 "
4,5.258307315862934,95.51256232743258,33.8370101191132,2.429999999999999e-2,0.000249220193300754,"cx4_3: 9.330e-3 "
