Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.000432999939787,115.70935793565225,138.8716965474336,3.457465634854224e-4,3.457465634854224e-4,2.8699999999999948e-2,"cx0_1: 2.097e-2 "
1,4.843768151906496,141.86868078112843,71.79761199196749,2.3100518712160201e-4,2.3100518712160201e-4,3.990000000000005e-2,"cx1_2: 1.135e-2 , cx1_0: 2.097e-2 "
2,4.78291203960179,138.25720913946623,153.82714530110886,3.8298158624954594e-4,3.8298158624954594e-4,3.43e-2,"cx2_3: 1.695e-2 , cx2_1: 1.135e-2 "
3,4.858101125052625,93.63267056359852,121.73511099288417,1.3589769425372173e-3,1.3589769425372173e-3,7.430000000000003e-2,"cx3_4: 1.027e-2 , cx3_2: 1.695e-2 "
4,4.978326165112251,111.08817783743447,127.88340272937569,2.0149256011856012e-4,2.0149256011856012e-4,4.479999999999995e-2,"cx4_3: 1.027e-2 "
