Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,53.73821226900286,22.08140309471692,5.100137844650205,4.180000000000006e-2,5.73261589798868e-3,
Q1,43.55614389202784,63.07016816114353,5.238517817275422,1.5410000000000001e-1,2.5088636774983852e-2,"CX1_0: 3.502e-2, CX1_2: 4.583e-2"
Q2,54.51775038135578,114.98903442472567,5.032579957528486,6.420000000000003e-2,7.4634818849640405e-3,"CX2_3: 4.038e-2"
Q3,67.57945158562379,51.80791693794171,4.89624495461185,5.030000000000001e-2,4.050657271265523e-3,
Q4,43.03433604181753,20.81111900823435,5.030579474373187,5.7699999999999974e-2,5.956608267039032e-3,"CX4_3: 8.655e-2, CX4_10: 8.078e-2"
Q5,23.912621614528526,47.56201776188178,5.067156630311951,5.630000000000002e-2,8.361611484715037e-3,"CX5_4: 8.420e-2, CX5_6: 9.268e-2, CX5_9: 7.288e-2"
Q6,54.201964895059035,70.8153144560047,4.923826452121996,3.489999999999993e-2,2.4464674485902282e-3,"CX6_8: 2.995e-2"
Q7,44.481443471135215,78.89855108004747,4.974546100796439,2.2409999999999997e-1,2.9406926712527426e-3,"CX7_8: 3.126e-2"
Q8,63.99877857857056,96.16362102260356,4.739554637384254,4.459999999999997e-2,3.3959171840662883e-3,
Q9,42.88809671007806,78.52386001705788,4.963378223772867,3.180000000000005e-2,7.625267104772626e-3,"CX9_8: 5.001e-2, CX9_10: 5.492e-2"
Q10,42.66964732486734,52.74178480721881,4.945059777012271,5.5300000000000016e-2,3.754486589817363e-3,
Q11,64.50862631703096,142.2186893523464,5.005003142929596,4.909999999999992e-2,2.6332862640409127e-3,"CX11_3: 3.895e-2, CX11_10: 3.798e-2, CX11_12: 4.268e-2"
Q12,53.36757680926083,84.93446596422287,4.759974212278766,8.779999999999999e-2,5.4595963794480395e-3,"CX12_2: 7.871e-2"
Q13,23.016005322035248,39.693308911358464,4.968530216183713,6.1899999999999955e-2,1.597224643225237e-2,"CX13_1: 1.882e-1, CX13_12: 4.940e-2"
