Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,5.175373315188124,80.72616786176374,132.17411626584308,7.800000000000029e-3,0.0002875938199306607,"cx0_1: 1.001e-2 "
1,5.267233271767359,72.09254163786366,82.46257477227168,9.700000000000042e-3,0.0003773443449195401,"cx1_2: 8.117e-3 , cx1_0: 1.001e-2 "
2,5.052382169422044,107.67102858650996,154.06224341758212,1.9000000000000017e-2,0.00021045208687503705,"cx2_3: 7.371e-3 , cx2_1: 8.117e-3 "
3,4.855933724832502,119.4860020182103,25.94192186379939,1.8299999999999983e-2,0.0002501281887915033,"cx3_4: 6.737e-3 , cx3_2: 7.371e-3 "
4,5.1185552889300485,114.38127355419078,112.76227040147732,1.8299999999999983e-2,0.00024638037590775684,"cx4_3: 6.737e-3 "
