Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,55.56375656025266,49.55441403430663,5.286309677265234,8.000000000000007e-3,8.850835463475355e-4,"cx0_1: 1.323e-2, cx0_2: 1.781e-2"
Q1,55.36669681156358,55.21924014355865,5.237861724273159,1.3500000000000068e-2,9.816519017269332e-4,"cx1_0: 1.323e-2, cx1_2: 1.796e-2"
Q2,57.53099239273055,46.45317889512985,5.030270510891453,1.4499999999999957e-2,9.3811518240655e-4,"cx2_0: 1.781e-2, cx2_1: 1.796e-2, cx2_3: 1.455e-2, cx2_4: 1.324e-2"
Q3,56.146007205500005,30.825061492756518,5.2960374817751745,1.9000000000000017e-2,7.907251036795524e-4,"cx3_2: 1.455e-2, cx3_4: 1.233e-2"
Q4,47.27489966641334,43.18642799079187,5.084714935897485,1.3500000000000068e-2,7.980036800620882e-4,"cx4_2: 1.324e-2, cx4_3: 1.233e-2"
