Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,90.31104929053616,18.38638524492989,4.795977382487895,6.600000000000006e-2,1.2080754805836006e-3,"cx0_1: 9.323e-3"
Q1,99.10179602732856,116.38449085252992,4.940052079654136,1.6000000000000014e-2,1.4139293227315628e-3,"cx1_0: 9.323e-3, cx1_2: 7.018e-3, cx1_3: 1.121e-2"
Q2,97.51206225695583,164.66446993601124,4.833251805565221,1.100000000000001e-2,7.579751972924741e-4,"cx2_1: 7.018e-3"
Q3,85.20856346893177,83.09179939684093,4.807988236074321,1.6000000000000014e-2,1.2853721546663593e-3,"cx3_1: 1.121e-2, cx3_4: 7.078e-3"
Q4,101.54247157344469,50.529968684682565,4.749895224755795,2.100000000000002e-2,1.2728329626130518e-3,"cx4_3: 7.078e-3"
