Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,59.20418939563198,21.755317228090675,5.100140013000356,2.4699999999999944e-2,5.026110962360497e-3,
Q1,63.32276024172713,76.98632749352187,5.238517785556159,5.3200000000000025e-2,1.8125289488304608e-2,"CX1_0: 4.538e-2, CX1_2: 3.963e-2"
Q2,62.723292390430906,110.88979705076818,5.032579612672837,4.0000000000000036e-2,6.906575834188078e-3,"CX2_3: 4.820e-2"
Q3,74.67033908986281,72.91541492733604,4.896228574809671,6.879999999999997e-2,2.024847651700079e-3,
Q4,42.95408405219649,21.70103809140931,5.030547388894031,1.479999999999999e-1,9.164053360226632e-3,"CX4_3: 6.642e-2, CX4_10: 7.304e-2"
Q5,26.324056633769217,44.571826587125166,5.067165043835683,7.590000000000008e-2,5.0570303657639926e-3,"CX5_4: 8.641e-2, CX5_6: 6.717e-2, CX5_9: 6.278e-2"
Q6,67.1787775281721,78.24012802656246,4.923824285081763,4.0899999999999936e-2,2.8624052271394307e-3,"CX6_8: 3.180e-2"
Q7,47.02509990552433,82.73911934041519,4.974543275207203,1.4149999999999996e-1,2.6636819438733417e-3,"CX7_8: 2.804e-2"
Q8,65.39586550248316,105.28696763573576,4.73955684676525,4.400000000000004e-2,3.4471032770814203e-3,
Q9,47.07839491613714,71.60751421512863,4.963383295019674,5.830000000000002e-2,7.142213333160785e-3,"CX9_8: 5.214e-2, CX9_10: 5.556e-2"
Q10,41.43941653670061,55.732860655443304,4.945063273664052,5.9700000000000086e-2,3.8582879412285553e-3,
Q11,65.04518614960081,96.32559318257746,5.004999464844959,4.590000000000005e-2,4.433895635284624e-3,"CX11_3: 3.021e-2, CX11_10: 4.331e-2, CX11_12: 4.732e-2"
Q12,51.475345362459656,84.00756955679566,4.759960332753687,7.909999999999995e-2,8.561736519972052e-3,"CX12_2: 7.354e-2"
Q13,23.309667107882014,8.936813910797122,4.9685099498713985,9.860000000000002e-2,3.4395172077524294e-2,"CX13_1: 1.104e-1, CX13_12: 5.897e-2"
