Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,73.70259088890734,30.748247091251944,5.100136973261803,7.339999999999991e-2,4.871389491967748e-3,
Q1,68.86126661676981,115.2468885883847,5.23852742809681,9.759999999999991e-2,1.7376716613884402e-2,"CX1_0: 3.325e-2, CX1_2: 3.920e-2"
Q2,41.25329122272557,57.188443016765895,5.032579961984975,3.93e-2,1.0890326784849025e-2,"CX2_3: 4.850e-2"
Q3,76.06814849700875,66.28555603364373,4.896244976190387,5.049999999999999e-2,2.3721672926081405e-3,
Q4,35.03869189207434,17.836502838963327,5.030680493993112,6.25e-2,8.326610620580155e-3,"CX4_3: 5.822e-2, CX4_10: 9.563e-2"
Q5,26.81029619339812,51.58110345080411,5.06716293635504,6.359999999999999e-2,4.243877896213943e-3,"CX5_4: 8.594e-2, CX5_6: 6.287e-2, CX5_9: 5.147e-2"
Q6,29.086793858274255,22.658445037318902,4.923833949586462,4.1200000000000014e-2,4.066673543056898e-3,"CX6_8: 4.178e-2"
Q7,41.23824921373115,100.27853360036409,4.974562892942964,2.3130000000000006e-1,3.1345472883858028e-3,"CX7_8: 3.227e-2"
Q8,59.27283917790356,80.14044644423417,4.739552699230579,3.5599999999999965e-2,4.286598700477984e-3,
Q9,45.33747823532437,84.567487296772,4.963374132236674,3.420000000000001e-2,5.106416386134627e-3,"CX9_8: 5.149e-2, CX9_10: 5.079e-2"
Q10,48.76087223364622,52.66823336031917,4.945060872989559,4.8799999999999955e-2,4.258433165148623e-3,
Q11,53.47809422733885,96.60442579741297,5.005004686351752,3.3299999999999996e-2,3.030861310158617e-3,"CX11_3: 3.322e-2, CX11_10: 5.131e-2, CX11_12: 3.967e-2"
Q12,89.86095623295758,172.1650427753431,4.7600799830836165,5.2200000000000024e-2,9.273850873880884e-3,"CX12_2: 6.782e-2"
Q13,22.84225955070322,38.45222507693515,4.96852947967887,1.1440000000000006e-1,1.426103284399427e-2,"CX13_1: 1.261e-1, CX13_12: 6.500e-2"
