Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,94.38551668167135,18.38638524492989,4.795940016123068,6.599999999999995e-2,7.98770080118092e-4,"cx0_1: 1.071e-2"
Q1,45.96872281795074,46.34166096062244,4.9400549350882565,3.0000000000000027e-2,1.4196640044831735e-3,"cx1_0: 1.071e-2, cx1_2: 8.671e-3, cx1_3: 1.764e-2"
Q2,64.80229547173944,103.09405867696796,4.833231981076322,9.000000000000008e-3,8.181005699179539e-4,"cx2_1: 8.671e-3"
Q3,94.57720421465206,97.70557375798651,4.807985479564442,2.200000000000002e-2,9.966153074009627e-4,"cx3_1: 1.764e-2, cx3_4: 7.507e-3"
Q4,140.11231379441458,49.49844880853865,4.749902516491975,1.6000000000000014e-2,1.163751718098819e-3,"cx4_3: 7.507e-3"
