Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,95.41009727675491,79.51751359457182,4.819458108487604,2.0000000000000018e-2,7.210641508155565e-4,"cx0_1: 6.609e-3"
Q1,78.53745873389843,29.29396908977398,4.891103478346308,3.300000000000003e-2,1.1271079695076404e-3,"cx1_0: 6.609e-3, cx1_2: 1.048e-2, cx1_3: 1.342e-2"
Q2,92.63663194929856,129.73589002193992,4.716858482033894,1.9000000000000017e-2,4.161706880531796e-4,"cx2_1: 1.048e-2"
Q3,96.7226395900246,78.70364170891477,4.789036015405303,4.400000000000004e-2,8.436654619261219e-4,"cx3_1: 1.342e-2, cx3_4: 6.377e-3"
Q4,95.4115573328508,42.34699008650308,5.023703276401828,3.9000000000000035e-2,7.581051408989392e-4,"cx4_3: 6.377e-3"
