Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,114.82660046740979,18.38638524492989,4.795926573450685,6.999999999999995e-2,7.72994257107394e-4,"cx0_1: 8.810e-3"
Q1,59.52308005531806,104.689679044171,4.940050622383497,1.200000000000001e-2,7.900564411943148e-4,"cx1_0: 8.810e-3, cx1_2: 7.261e-3, cx1_3: 1.177e-2"
Q2,103.44452716174631,124.6787485440368,4.833250461960086,1.7000000000000015e-2,7.741683763302741e-4,"cx2_1: 7.261e-3"
Q3,120.59021823504116,96.38092911057477,4.807986119002312,2.8000000000000025e-2,1.1537274682940492e-3,"cx3_1: 1.177e-2, cx3_4: 8.485e-3"
Q4,75.17333619387931,41.68885077230623,4.749899362212638,2.5000000000000022e-2,1.1024852191161756e-3,"cx4_3: 8.485e-3"
