Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,110.04370855329634,91.77954096574904,4.819508476305058,1.6000000000000014e-2,6.177414839322698e-4,"cx0_1: 5.984e-3"
Q1,105.57608963712713,41.917879855715924,4.89110620357911,3.0000000000000027e-2,6.387432383621586e-4,"cx1_0: 5.984e-3, cx1_2: 9.609e-3, cx1_3: 1.084e-2"
Q2,147.11689876498195,122.71063539410896,4.716860843748129,1.0000000000000009e-2,4.242844077397395e-4,"cx2_1: 9.609e-3"
Q3,73.42456385444827,86.38606917764962,4.789036097582929,3.8000000000000034e-2,7.058733824286919e-4,"cx3_1: 1.084e-2, cx3_4: 7.029e-3"
Q4,53.53477654537883,40.789921006049404,5.023690093812192,4.9000000000000044e-2,5.369460919769595e-4,"cx4_3: 7.029e-3"
