Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Single-qubit U2 error,CNOT error
,5.000431791184485,91.14637556349905,134.04315017775068,4.84e-2,4.4560819005099773e-4,"cx0_1: 2.589e-2 "
1,4.845304989269025,134.64243330371835,62.59716562810811,3.8000000000000034e-2,2.1227075928241792e-4,"cx1_2: 7.466e-3 , cx1_0: 2.589e-2 "
2,4.782924107189064,130.92762540902498,134.28712037806866,8.17e-2,1.582719280122067e-4,"cx2_3: 7.122e-3 , cx2_1: 7.466e-3 "
3,4.8581092270410196,160.1764439919263,240.5322081029662,5.179999999999996e-2,1.7917218651898763e-4,"cx3_4: 1.961e-2 , cx3_2: 7.122e-3 "
4,4.978348503278566,87.44611213627913,165.52617272193035,4.4300000000000006e-2,4.797756044850519e-4,"cx4_3: 1.961e-2 "
