Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,67.06141951257909,26.074244921850095,5.100054545092797,3.2299999999999995e-2,8.266020171289301e-3,
Q1,43.55614389202784,71.65782672568932,5.23852248962057,5.2999999999999936e-2,1.2389923414164894e-2,"CX1_0: 7.234e-2, CX1_2: 3.418e-2"
Q2,54.51775038135578,18.160953333297723,5.032599697985456,8.999999999999997e-2,1.1083602638675027e-2,"CX2_3: 4.874e-2"
Q3,75.54251864086623,55.099374145332916,4.896243841699296,4.13e-2,3.929836300690992e-3,
Q4,48.69033491074144,20.165733048171305,5.0304279266413445,6.099999999999994e-2,9.58659741634238e-3,"CX4_3: 1.147e-1, CX4_10: 1.678e-1"
Q5,25.495552378333485,44.32850922972644,5.067160804222117,6.159999999999999e-2,4.589687181967839e-3,"CX5_4: 8.420e-2, CX5_6: 8.537e-2, CX5_9: 4.677e-2"
Q6,54.201964895059035,53.024125942461595,4.92382172950884,3.43e-2,4.443998495843093e-3,"CX6_8: 2.995e-2"
Q7,46.555230784471725,77.98944147852157,4.974545190632027,1.2719999999999998e-1,3.0862692605883035e-3,"CX7_8: 4.514e-2"
Q8,62.06206708153715,104.80362948249031,4.739474249569572,4.749999999999999e-2,5.897007555552225e-3,
Q9,43.32046734225185,74.15983234675528,4.963380022484722,3.520000000000001e-2,5.887235938311974e-3,"CX9_8: 5.001e-2, CX9_10: 5.008e-2"
Q10,42.08396753830383,51.31038780619241,4.9450641516220895,5.9799999999999964e-2,4.013578217995972e-3,
Q11,66.002108977564,88.30000544998552,5.005002657234754,4.059999999999997e-2,2.789423219522691e-3,"CX11_3: 3.015e-2, CX11_10: 3.898e-2, CX11_12: 3.938e-2"
Q12,46.784120788240294,87.74466109470463,4.759964083673794,6.45e-2,7.882147820652552e-3,"CX12_2: 7.414e-2"
Q13,24.83436914616642,38.71818905016479,4.968443978600599,4.239999999999999e-2,1.3038875286478846e-2,"CX13_1: 1.882e-1, CX13_12: 4.635e-2"
