Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Single-qubit U2 error,CNOT error
,5.000434411022949,96.48735209104538,123.52696010920344,4.239999999999999e-2,2.6446349842109736e-4,"cx0_1: 1.790e-2 "
1,4.84526363648197,153.6004091512056,68.34209149350859,3.489999999999993e-2,2.3699304349565452e-4,"cx1_2: 1.275e-2 , cx1_0: 1.790e-2 "
2,4.78292723342513,170.971123433421,88.8699667378659,6.800000000000006e-2,5.295361352540086e-4,"cx2_3: 1.184e-2 , cx2_1: 1.275e-2 "
3,4.858109344542257,122.52215944180114,133.52347746618148,5.709999999999993e-2,1.8260008183387067e-4,"cx3_4: 8.223e-3 , cx3_2: 1.184e-2 "
4,4.978347782775308,117.33918460623669,160.3653528514378,3.720000000000001e-2,2.489476684950605e-4,"cx4_3: 8.223e-3 "
