Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,4.822061762165904,105.6648138801959,62.65592286541064,2.639999999999998e-2,0.00022248925616348827,"cx0_1: 1.033e-2 "
1,4.759920640951971,92.4935654648638,98.8682074672894,1.5700000000000047e-2,0.0002588584667930723,"cx1_3: 7.437e-3 , cx1_2: 1.057e-2 , cx1_0: 1.033e-2 "
2,4.907309571496565,68.34449152198016,144.07149009658264,1.089999999999991e-2,0.00028134402286307173,"cx2_1: 1.057e-2 "
3,4.87896693677699,112.48491496186422,204.03384817112808,2.180000000000004e-2,0.00026377989693954934,"cx3_5: 1.020e-2 , cx3_1: 7.437e-3 "
4,4.870908084160517,88.62261964386433,40.20275177466981,1.859999999999995e-2,0.0003120353989465587,"cx4_5: 9.941e-3 "
5,4.963978069075345,87.56421162385355,156.0398859666684,9.90000000000002e-3,0.00025999820909715653,"cx5_6: 6.519e-3 , cx5_4: 9.941e-3 , cx5_3: 1.020e-2 "
6,5.177098560966707,48.50513232414802,110.18659411986292,2.6699999999999946e-2,0.00027289301509674776,"cx6_5: 6.519e-3 "
