Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,46.33939366246716,20.010510752832847,5.100141876743869,2.8999999999999915e-2,6.393400542345162e-3,
Q1,69.06000666836741,109.26253871847945,5.238514586997251,5.069999999999997e-2,1.7611995851938622e-2,"CX1_0: 7.558e-2, CX1_2: 4.495e-2"
Q2,71.02574550848145,108.27836362003357,5.032576330594893,4.620000000000002e-2,7.9358640515661e-3,"CX2_3: 4.125e-2"
Q3,74.67033908986281,69.15491873049167,4.896225318725668,8.410000000000006e-2,2.534631051144487e-3,
Q4,45.43864905274401,19.864941558449303,5.030509989468141,6.319999999999992e-2,8.63153564751129e-3,"CX4_3: 6.642e-2, CX4_10: 9.755e-2"
Q5,25.239378849515166,52.2012273707677,5.067165048527782,6.640000000000001e-2,4.156000830900619e-3,"CX5_4: 1.010e-1, CX5_6: 5.962e-2, CX5_9: 1.172e-1"
Q6,62.23542688180782,63.761125650484665,4.923829201579445,5.289999999999995e-2,2.2371966144743016e-3,"CX6_8: 3.327e-2"
Q7,40.20783805859945,46.367421126981384,4.974541149939271,9.220000000000006e-2,2.9934855448348063e-3,"CX7_8: 3.390e-2"
Q8,58.16377527021804,87.1012284490064,4.7395574258631195,6.730000000000003e-2,3.8340350311371063e-3,
Q9,47.07839491613714,71.60751421512863,4.9633754998623365,4.5740000000000003e-1,2.1106590385741697e-2,"CX9_8: 1.104e-1, CX9_10: 5.556e-2"
Q10,49.94667044926154,55.22712929935606,4.94506441529451,8.689999999999998e-2,3.427595660293825e-3,
Q11,65.04518614960081,51.02533147340834,5.005002423945916,3.420000000000001e-2,5.398766751127382e-3,"CX11_3: 3.514e-2, CX11_10: 4.665e-2, CX11_12: 5.712e-2"
Q12,55.27787445504524,70.83364971357253,4.759960513181865,6.510000000000005e-2,9.527665436485866e-3,"CX12_2: 9.190e-2"
Q13,23.06178919384941,39.88149640228646,4.968533049186831,5.14e-2,9.830032026366342e-3,"CX13_1: 1.512e-1, CX13_12: 8.194e-2"
